	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
country	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	FRA	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
DNA_extraction_kit	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome	Gnome
number_reads	 76003628	 47190574	 87631061	 10574044	 73567419	 46217866	 63911163	 61688036	 36441111	 66936604	 68406226	 66245949	 20580422	 75876874	 65983849	 40445720	 57428555	 54114916	 62234037	103363989	 37988049	  5783578	 45546920	 62891719	 51748595	 42764985	 45764894	 53344597	 78085760	 87807063	 69983469	 33262702	 55286215	 82207625	 53183717	 92672216	 90417909	 85806932	 98059549	 68712649	133597487	 12960596	 29867294	 48552680	 97043260	 54550110	 48275455	 81666867	 29591263	 52824987	 53858804	 64242756	 46734542	 71147118	 46553845	 54177103	 66456701	 43056463	 52179172	 81682982	 55812127	 90240238	 44391860	 55469214	 75046271	 61160335	 73343518	 42157335	 83383804	 49916410	 37805003	 84805529	 42982745	 12659025	 39745148	 75963441	 51253211	 58318794	 34233614	 35971780	 63416533	 54709150	 20912144	 81465089	 36741705	 59350393	 80732841	 51200510	 56128839	 41468101	 40022941	 31774168	 46913589	 62688390	 23061446	 31477687	 24459826	103034276	 56045312	 79673095	134059337	 39333809	 61901654	 67395395	 24843993	 91118209	 12636839	 16650614	 78352675	 95671668	 74021867	 46481994	 60489281	140945980	 76593756	153432400	 69103733	 89494083	 78150540	 59124409	 44022141	 95462023	 66773170	103695516	 73658101	 89976522	 96243432	 45388199	  8890877	 43316779	 80482805	 75224196	 35125765	 60695192	 50624818	 50204707	 26015120	 59042659	 83221305	 62698501	 72027798	 64903644	 62472516	 71798343	 53724201	 94076829	 13523536	 44052987	 40204072	 69804753	 51567166	 66865743	 34953403	 45190917	 46052438	 69793122	 83456496	 65269931	 63427722	 36979669	 65475493	 55300211	 63611916	 84964410	 65970756	 82412988	 81592727	 55059930	 59430177	 62957787	111517650	 58443148	 33507008	 63799848	 71770689	 78698076	 54578786	 69492180	 51838643	 72877557	 73836742	 69961523	 72332153	 58799892	 69560481	 52355963	 68642651	 71623662	 62222602	 66759905	 61569976	 72207800	120416190	 68567382	130049492	132071270	178722733	147843603	104954432
number_bases	 6512170482	 3298640533	 7846466205	  907920835	 6190369807	 3733212784	 5403961311	 5175146179	 2826425982	 5667757614	 5817465348	 5739043252	 1560454141	 6488989235	 5152050233	 3369353210	 5021042144	 4310576345	 5296232853	 8334068161	 3229069072	  497672074	 3848992468	 5363998665	 4256129777	 3631882002	 3698892069	 4547422592	 6621569027	 7453752248	 5754783062	 2287755331	 4611051584	 6704190994	 4306955793	 7763227111	 7567990129	 7634935649	 8757847513	 5871764899	11694061283	 1062478244	 2474388952	 3405411697	 7788532840	 4629074799	 3986872657	 7382792447	 2620882999	 4392664436	 4440407460	 5678829952	 3943928884	 6044922649	 3817577484	 4449210952	 5731938297	 3608044435	 4298774503	 7211705897	 4411570203	 7602125134	 3791242240	 4694864212	 6490271467	 4887131910	 6267951889	 3614755975	 6695072003	 4076256445	 2643933782	 7119073064	 3427270177	 1015859086	 3264825557	 6650230179	 4358945393	 4621474821	 2772292441	 2924500773	 5408998961	 4488120560	 1875556820	 6959611519	 2999673577	 5016717280	 6298057148	 4130244845	 4655519051	 3331840282	 3182274234	 2588976210	 3917549022	 4925782891	 1805826811	 2438528318	 2054641330	 8528422674	 4576724560	 6259486032	10842063366	 3209540648	 5241560072	 5705040835	 1992837785	 7966706877	 1128108433	 1369967696	 6568369799	 8220141004	 6260894901	 3848726385	 5138705109	11663668391	 6214540074	13684791942	 5675017036	 7783680878	 6619013691	 4966168603	 3056783044	 8078577899	 5713080966	 9060668209	 6621069584	 7809347444	 7855270798	 3180717679	  803852416	 3640432033	 7038083357	 6297114104	 2811757403	 4841564987	 4239137877	 3868143620	 2216475835	 4753470798	 7016009997	 5261700925	 6089304969	 5520171452	 5146118151	 5613567382	 4099922459	 8027807010	 1233826155	 3132363570	 3230104037	 5868133832	 4271802257	 5931273309	 2752039312	 3154490787	 3914532361	 5748965241	 7310970279	 5370021950	 5486983593	 3186342244	 5637718108	 4780095276	 5295778184	 7289969024	 5638414164	 6955065417	 6985538898	 4714466429	 5111006692	 5376635637	 9271998198	 4979909496	 2873493609	 5487160146	 6068657231	 6748918253	 4733323410	 5980859510	 4404941313	 6243517495	 6326842541	 5883271932	 6079012996	 4969364628	 6014910420	 4478975806	 5825187045	 6445367470	 5370424077	 5829021413	 5243752766	 6328077215	10356558554	 5884210312	11373008927	11459650610	14971137624	12182541625	 9173408933
minimum_read_length	45	45	45	 1	 1	45	 1	 1	45	 1	45	45	 1	45	 1	45	45	45	45	 1	45	45	45	45	45	45	45	45	45	45	45	45	 1	45	45	45	 1	45	45	45	45	45	45	45	 5	45	45	45	45	45	45	45	45	 1	45	45	45	45	45	45	 1	 1	45	45	45	45	45	45	45	 2	45	 1	45	 2	45	45	 1	45	45	45	45	45	45	45	45	 1	 5	45	45	45	 1	45	45	45	45	 1	45	45	45	45	45	45	 1	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	 1	45	45	45	45	45	45	45	 1	45	45	45	45	45	45	45	45	45	45	45	 1	 1	 1	45	45	45	 1	45	45	45	 2	 1	45	45	 2	45	45	45	45	 2	45	45	45	45	 1	45	 1	 2	45	45	45	45	 2	45	45	45	 1	 1	45	 1	45	 1	45	 2	 2	 1	 1	45	 1	45	45	45	 1	45	 1	45	45	45	45	 2	45
median_read_length	91	69	94	90	89	91	89	89	85	89	90	91	86	91	89	92	92	90	91	89	92	94	92	90	92	93	92	96	90	90	90	68	89	91	91	92	89	95	95	90	96	92	91	69	85	92	92	96	95	93	91	96	92	89	92	91	91	90	92	95	89	89	92	91	90	92	90	92	92	88	69	89	89	87	90	92	89	91	89	91	90	92	97	90	92	89	85	91	92	91	89	90	92	89	85	89	90	89	91	88	86	90	89	90	88	93	95	91	89	92	90	91	90	90	92	95	90	92	89	92	68	90	96	96	96	92	89	69	96	92	93	92	89	88	93	82	93	87	89	89	89	90	93	87	89	92	97	70	88	89	91	94	88	69	96	93	94	88	93	93	92	93	89	92	92	91	92	93	92	92	88	92	92	92	89	92	90	92	92	92	92	91	91	89	89	92	92	96	92	93	92	91	92	92	91	92	91	88	91
tnm	NA	NA	NA	t1n0m0	NA	NA	NA	NA	t3n1m1	NA	NA	NA	NA	NA	NA	NA	t3n1m0	NA	NA	NA	NA	t2n0m0	t2n1m1	NA	t4n1m0	t4n1m1	NA	NA	NA	NA	t1n0m0	NA	NA	NA	t3n0m0	NA	t4n1m1	NA	t4n1m1	NA	t4n1m1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	t3n1m0	t2n0m0	NA	NA	t1n0m0	NA	NA	NA	t4n1m1	t4n0m0	t3n1m0	t3n0m0	t3n0m1	NA	NA	NA	NA	NA	t3n1m0	NA	NA	t4n0m1	t3n1m0	t4n1m0	NA	NA	NA	NA	t1n0m0	NA	t2n1m0	NA	NA	NA	NA	NA	NA	t4n1m1	t3n1m1	t2n0m0	NA	NA	t3n1m1	NA	NA	t3n1m0	t1n0m0	NA	t3n0m0	t3n0m0	t3n1m1	NA	NA	NA	NA	NA	t3n1m1	NA	t1n0m0	NA	t3nxm1	NA	NA	NA	t3n1m1	NA	t1n0m0	NA	t3n0m0	NA	NA	NA	NA	NA	t2n0m0	t3n1m1	NA	NA	NA	NA	t1n0m0	t2n0m0	t3n1m1	t3n1m1	t4n1m1	t2n0m0	NA	t3n0m0	NA	NA	NA	NA	NA	NA	t1n0m0	NA	NA	NA	NA	NA	NA	NA	NA	t4n1m1	t3n1m0	t3n0m0	t3n2m0	t3n0m0	t3n0m0	t3n0m1	t3n1m0	t3n0m0	t1n0m0	t1n0m0	t3n0m0	t1n0m1	t2n0m0	t2n1m0	t3n0m0	t3n0m0	t2n0m1	t2n0m0	t3n0m1	t1n0m0	t2n0m0	t4n0m0	t3n0m0	t2n0m0	t3n1m1	t2n0m0	t1n0m0	t4n2m1	t3n0m0	t2n0m0	t3n0m0	t3n2m1	t1n0m0	t2n0m0	tisn0m0	t4n2m1	t3n2m1	tisn0m0	t3n2m0	no	no	no	no	no
ajcc	NA	NA	NA	i	NA	NA	NA	NA	iv	NA	NA	NA	NA	NA	NA	NA	iii	NA	NA	NA	NA	i	iv	NA	iii	iv	NA	NA	NA	NA	i	NA	NA	NA	ii	NA	iv	NA	iv	NA	iv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	iii	i	NA	NA	i	NA	NA	NA	iv	ii	iii	ii	iv	NA	NA	NA	NA	NA	iii	NA	NA	iv	iii	iii	NA	NA	NA	NA	i	NA	iii	NA	NA	NA	NA	NA	NA	iv	iv	i	NA	NA	iv	NA	NA	iii	i	NA	ii	ii	iv	NA	NA	NA	NA	NA	iv	NA	i	NA	iv	NA	NA	NA	iv	NA	i	NA	ii	NA	NA	NA	NA	NA	i	iv	NA	NA	NA	NA	i	i	iv	iv	iv	i	NA	ii	NA	NA	NA	NA	NA	NA	i	NA	NA	NA	NA	NA	NA	NA	NA	iv	iii	ii	iii	ii	ii	iv	iii	ii	i	i	ii	iv	i	iii	ii	ii	iv	i	iv	i	i	ii	ii	i	iv	i	i	iv	ii	i	ii	iv	i	i	0	iv	iv	0	iii	NA	NA	NA	NA	NA
fobt	no	no	no	yes	yes	no	no	no	no	NA	no	no	no	no	no	no	yes	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	yes	yes	no	no	no	yes	no	yes	yes	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	yes	yes	no	yes	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	yes	no	yes	no	no	no	no	no	yes	no	yes	no	no	yes	no	no	no	no	yes	no	no	no	no	yes	no	yes	yes	no	yes	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
