non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2.27616	1.47431	0.90758	1.19588	3.09281	1.3397	0.39876	0.96179	0.71331	0.53444	0.40747	0.56293	2.59238	1.88002	1.26549	0.45989	0	0.50678	0.45371	1.19884	6.37909	1.62675	0.87332	0	5.28016	0.01504	0.50078	0.05288	2.76712	2.05672	0.00106	1.30662	9.61546	1.74927	2.64544	3.39778	0.02374	0.59612	7.63044	4.11134	1.92575	0.58104	10.91305	0.26807
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.25306	2.98716	2.3015	0.26117	2.70719	3.08021	65.61578	0.75297	0.1808	4.20779	1.14378	0.34925	4.71342	0.09734	0.79273	4.59103	31.38526	1.73508	0.06041	1.39997	1.00909	0.74352	13.30879	1.5441	0.34698	1.37512	0.31424	1.96288	4.28498	0.17507	1.82453	3.65804	0.22602	3.60875	21.47703	1.27263	1.57736	4.20126	1.37422	21.03583	0.82725	0.14442	0.25142	0.34741
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	1.89495	0.17111	1.08351	2.6359	3.46543	2.64836	0	0	0.00487	0	0.03081	0	0.13839	0.04346	12.65202	0.14472	0	7.87175	0.54855	0.27931	0	20.63275	1.0709	1.37179	0.36608	0	7.56865	0	0.00146	7.16664	7.07407	1.72502	0	1.93204	0.03159	0	0	0	4.61904	0.43968	0.32422	5.98288	0.94435	0.91532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1.03608	0.63027	1.36557	0.48786	2.18587	3.24765	0.0067	0.02914	0.19074	1.56483	1.0935	0.02021	0.5773	0.01699	2.16104	0.31884	6.6407	0.08048	0.00336	0.34549	0.27007	0.5539	3.65185	0.49348	0.4051	0.15867	0.20551	0.78558	0.71697	0.09334	1.12127	2.57014	0.25282	2.26053	8.78714	3.63027	7.33724	0.0887	0.56467	6.24422	1.17375	0.03971	0.0105	0.64695
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.31921	0.00322	0.35131	0.53452	2.11877	6.24443	0.28307	0.16433	0	0.98608	0.29132	0	1.45036	0.03587	1.05107	0.22035	8.71394	0.05788	0.67245	0.8751	1.40918	1.81722	7.21784	0.28854	0.45985	0.40276	0.04609	0.76234	3.46375	0	1.8599	6.646	0.33213	6.68031	3.59273	0.29067	2.85644	0.7459	3.69453	2.70103	0.07387	0.22195	0.06127	0.15117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.28156	0.33106	0.06584	0.09421	1.23074	7.14218	13.58328	0.78772	2.50636	0.81186	0.70284	0.69426	0.68579	0	3.16923	15.05834	0.63598	0.68773	0.41332	0.36139	0.13962	0.97439	0.01262	1.04407	0.14701	1.86646	0.35457	1.7522	2.35768	1.50957	0.30424	0.0723	0.67029	0.07192	22.70183	1.36807	10.94722	1.33436	8.30612	3.08224	0.57183	0.35028	1.72726	4.73383
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.21439	0.07865	0.41548	0.39221	0.21388	0.29146	0.08913	0.29528	0.22885	0.15688	0.06686	0.40687	0.12829	0.16704	0.56169	0.03278	0.21001	0.38694	0.08131	0.24328	0.13557	0.07671	0.07564	0.07822	0.12294	0.04773	0.02802	0.07667	0.26094	0.14962	0.00535	0.12556	0.25414	0.21417	0.08973	0.21006	1.24921	0.66744	0.34962	0.98353	0.42101	0.15955	0.63211	0.01142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.20323	2.40481	0.12312	1.14672	0.09171	0.17319	2.3852	0.74399	0.55418	1.1153	2.67348	4.53763	0.96423	3.92106	0.09478	5.78319	0.17338	1.5519	1.44629	3.15247	0.08638	0.56866	0.23499	1.94637	2.12008	3.25358	0.5154	2.46012	0.01237	0.13085	3.95404	0.21462	4.85913	0.19035	0.29017	1.82972	3.14972	16.61575	2.83108	0.67816	0.18134	0.19521	0.20291	1.64435
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.20323	4.75141	0.14247	0.1095	0.77246	0.72775	2.09484	0.57451	0.00791	0.14854	0.82291	0.10306	0.16653	0.11527	1.8649	0.06177	1.15928	0.59144	0.01827	0.68065	0	0.05254	0.00865	0.14298	1.44396	0.31202	0.04968	0.06986	0.61416	0.00573	0.06737	0	0.50361	0	0.10707	0.02287	0	0.12114	0.40498	0.18677	0.05448	0	0	0.08861
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae	0.07856	0	0	0.20194	0	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.7881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.04645	5.04819	0.21999	0.37663	0.14227	0.38133	10.66978	1.04916	1.31712	2.21339	6.3657	15.36641	4.76887	8.85712	0.47112	36.36295	5.47851	3.05105	0.93415	3.08658	0.21121	2.47935	1.59911	4.28024	19.73868	12.27405	3.20843	1.91759	0.02481	0.03875	53.79365	1.23787	13.68147	1.23974	7.20102	1.01714	18.91464	30.77035	29.63899	1.80799	3.46974	0.09653	2.78746	16.06897
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.03261	0.3913	0.11355	0.14217	0.00249	0	0.0479	0.27644	0.11903	0.56723	10.68233	10.55921	1.47178	9.63304	0.03257	0.26328	0.10891	0.85798	0.27453	2.43175	0.03606	0.47096	0.05199	1.41031	10.39205	1.4854	0.20641	9.12516	0.03907	0.00755	2.70334	0.22133	0.78534	0.21844	0.00526	0.33629	0	3.77509	4.94047	1.08706	0.0032	0.00856	0.68637	0.42147
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.0203	0	0.2187	0.01671	0	0	0	0	0	0.01765	0	0	0	0	0	0	0.14127	0	0	0	0	0	0.12545	0	0	0	0	0.00272	0	0	0.0193	0.0764	0	0.10206	0.03047	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.01034	0	0.06136	0.02361	0.0224	0.00517	0.01052	0	0	0.01308	0.00203	0	0	0	0.07351	0.00673	0.08929	0	0	0.01398	0.00164	0	0.05071	0	0	0	0	0.01127	0.01779	0	0.03768	0.29305	0.03342	0.35178	0.17971	0.01751	0.0117	0	0.01186	0	0	0	0	0.00013
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.00611	0	0.01534	0.06894	0.00326	0.0127	0	0.02384	0.02261	0.00571	0.04145	0.04152	0.04884	0.02018	0.04895	0	0	0.0442	0.04677	0.02912	0.05453	0.01539	0.00277	0.01865	0.01169	0.01887	0.0096	0.00795	0.00248	0.03634	0	0	0.01948	0	0	0.0135	0	0.00121	0.02393	0	0.00387	0.01548	0.03298	0.0037
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	41.07772	54.53769	38.24066	35.74617	58.40797	43.96445	0.61296	16.89233	58.07098	49.79904	0.79162	3.12669	8.94438	0.96047	28.77215	0.00157	3.25912	51.72223	8.79267	40.99037	11.75491	23.50227	51.48988	49.78592	5.85554	0.00018	35.8719	23.91095	55.63463	23.1049	0.00714	42.76129	15.31619	36.9489	10.90832	46.05258	13.70414	7.89567	0.00328	14.57193	24.77359	26.4819	1.78871	0.2188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	12.30136	1.29818	5.15084	0	1.02612	3.077	0	47.42312	0.92464	0.15078	23.04379	7.17825	0	19.54272	0.27825	0	0.18339	0	18.43346	5.11462	36.80929	1.85474	0.00648	0	2.82212	5.99481	2.00041	0	0.00656	24.18679	1.01787	0	0.0773	0	0	11.09701	0	0	0	0	11.85975	7.01751	0	0.02892
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	12.27991	3.18337	17.67308	16.94334	3.47501	6.37838	0.01624	3.56521	5.15531	10.57564	4.63639	8.69724	3.08689	5.65963	4.56773	0	8.16107	4.23959	25.68483	9.69128	4.59845	5.76649	2.30796	3.92068	25.27275	35.00644	3.98653	32.62444	5.25268	5.98466	15.0714	20.45986	13.8447	18.80406	1.17651	3.97152	15.41628	8.36345	14.4977	13.71525	34.86362	25.57262	15.52916	23.83693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	6.61964	0.5287	6.16979	1.56684	0.55579	0.26139	0.019	0.74009	2.00398	0.1582	0.24695	0.70909	1.19696	0.57786	2.67107	0	1.21963	1.4025	0.62916	0.71259	2.2348	0.90898	0.27737	0.14111	0.52726	0.2167	0.49019	0.1138	0.3577	0.73357	0.06446	0.13923	2.0942	0.18243	0.10442	0.8245	6.98726	0.44857	0.95924	0.92581	2.54826	0.20859	3.32541	0.46129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	5.03255	7.42433	6.32559	16.20465	4.53386	9.46471	0.22931	7.34109	21.76473	8.0615	9.05389	5.82924	44.16364	24.14146	21.33169	2.19755	9.89864	6.60627	34.23041	10.19519	15.75848	10.94306	10.6035	26.76987	10.00889	14.43491	36.83917	16.031	7.64515	24.51495	2.57711	7.47301	14.73028	13.05624	6.79099	4.50964	0	4.4623	10.19975	6.55657	5.03306	15.60753	17.25486	0.62833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	3.70883	0	0	0	0	0.01105	0	0.79043	0.91188	0	0	0	0	0	0	0.07725	0	0	0	0	0	0	0	0	0	1.89579	0	0.00014	0	0.9806	0	0.02024	0	0.01656	0	0.05368	0	0	0	0	0.00447	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2.76125	2.0474	9.01091	0.46207	2.73507	6.79957	0	0.47721	0.38591	1.71631	0.3582	1.62018	2.81967	1.56108	0.27087	0.00217	12.34556	1.88167	0.52226	8.86626	4.30954	5.05419	0.86288	1.30799	6.40608	4.97666	3.4605	2.68951	0.81499	0.26531	3.24026	3.59183	7.58782	3.8737	0.50216	3.68915	0.66817	1.01789	0.96074	1.11904	2.83652	1.11543	0.60945	0.18425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	2.494	0.81297	1.73838	2.37917	0.77487	0.65371	0.01246	0.51432	0.76721	1.10295	0.30214	1.01552	0.89139	0.49329	1.304	0.45027	0.41618	0.31732	0.35766	0.63406	1.29573	0.77916	0.22561	0.21338	0.58069	0.33633	0.41007	0.30367	1.05033	1.01712	0.20285	0.93433	4.2359	1.21612	0.58957	1.36044	12.14193	1.92191	3.08163	2.1366	1.39759	1.04683	2.73512	0.30216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	2.11523	2.78643	4.79145	4.84292	3.37304	0.32241	0.08703	2.59676	1.52137	4.86251	14.03989	24.77102	3.68408	13.17482	1.11104	5.27244	0.64031	1.45458	0.24572	1.86374	4.83109	19.01642	3.6189	0.08864	1.0455	3.78694	1.56158	1.17665	0.61687	0.14108	0.53565	3.82222	1.75156	4.22244	1.59008	2.38692	0	0.39337	0.01182	1.71858	0.09961	0.98732	9.2653	0.09419
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	1.89495	0.17111	1.08351	2.6359	3.46543	2.64836	0	0	0.00487	0	0.03081	0	0.13839	0.04346	12.65202	0	0	7.87175	0	0.27931	0	20.59272	1.0709	1.34072	0	0	7.56865	0	0.00146	7.16664	7.07407	1.72502	0	1.93204	0.03159	0	0	0	4.61904	0.00895	0.31937	5.98288	0.94435	0.91532
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	1.7828	0	0.6324	0.00178	0.25447	0.54927	0	0.62074	0.59848	0.21862	0.25519	0	2.13141	0	0.82573	0	0	0	0	0.20247	0.95556	0.77821	0.17847	0	4.51365	0	0	0	2.25302	1.0259	0	0	5.08713	0	0	2.77191	0	0	0	2.33765	0.86562	0.20138	7.19407	0.04314
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	1.5156	0	0	0	0.13849	0.06392	0	0	0.1637	0	0	0	0	0	0	0.95108	0	0	0	0.93062	0	0	0	0.0222	0	0	0.06263	0	3.33709	0.03846	0.12137	0	0	0	0	0.23246	0	0	0	5.4131	0.13614	0.12761	0.157	0.11782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	1.46723	0.14406	1.15973	3.66195	0.80477	1.33587	0.10077	13.02938	1.79462	0.93738	19.41656	3.6154	14.35952	3.9085	2.4471	0.06893	0.004	12.04076	2.85105	1.49935	5.96519	0.50453	0.26088	2.3411	1.63187	2.69897	0.82104	0.69238	0.86999	4.01284	0.28316	0.55405	0.41345	0.7069	0.11944	8.37777	0	1.4446	0.38031	0.41037	1.99711	0.82181	9.93087	2.8498
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	1.01265	0.63027	1.30386	0.48786	2.17219	3.09868	0.0067	0.02914	0.19074	1.50493	1.06304	0.02021	0.56529	0.01699	2.09017	0.31884	6.43208	0.08048	0.00336	0.34549	0.27007	0.53418	3.57823	0.49348	0.37756	0.15554	0.20551	0.78558	0.71697	0.09334	1.12127	2.36723	0.25282	2.17175	8.66901	3.59001	7.22717	0.0887	0.52932	6.19	1.1626	0.03971	0.0105	0.63995
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.89646	1.78215	1.94171	0.94419	0.77787	1.15089	0.05671	0.56655	0.57285	8.88077	0.52185	1.44998	1.41676	0.99177	0.8164	10.78217	2.27132	1.05609	0.68647	0.7384	1.09949	0.80381	0.6442	0.49202	0.89204	0.91475	1.24102	0.4822	0.64533	1.14695	0.38094	1.65598	4.12054	1.86255	5.52102	1.2347	2.61101	0.81404	2.00298	1.2681	1.3461	0.66407	1.43921	0.2804
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.49335	1.4695	0.27517	1.1941	2.83834	0.79043	0.36594	0.33514	0.09856	0.30564	0.14926	0.53123	0.44921	1.87498	0.43976	0.07191	0	0.50521	0.45283	0.98523	5.42353	0.80792	0.69485	0	0.76304	0.00054	0.49266	0.0069	0.50942	1.03083	0	1.30662	4.52833	1.74927	2.49388	0.61573	0.02374	0.57858	7.58267	1.77369	0.67856	0.37903	3.71555	0.20661
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.41877	0.11766	2.3015	0.26117	2.5687	3.01388	0.16955	0.75233	0.01604	4.20779	1.14378	0.09622	4.71342	0.09734	0.79273	0.31597	31.0357	1.73138	0.06041	0.46935	1.00909	0.74352	13.28847	1.5219	0.34698	0.2437	0.25161	1.96272	0.78168	0.13661	1.70315	3.65186	0.22602	3.60803	21.47703	0.98326	1.57736	0.58962	0.46706	10.73865	0.66052	0.01681	0.09442	0.22173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.31921	0.00322	0.35131	0.46507	2.11844	6.24443	0.28307	0.16433	0	0.98608	0.29132	0	1.45036	0.03587	1.03417	0.22035	8.71394	0.05788	0.58905	0.85772	1.15111	1.81722	7.21784	0.28512	0.45985	0.39452	0.04609	0.76234	3.28854	0	1.8599	6.646	0.33213	6.68031	3.58902	0.29067	2.70835	0.7459	3.1054	2.66646	0.07387	0.22195	0.06127	0.04516
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0.3187	0	0	0	0	0	0.0066	0.00064	0	0	0	0	0	0	0	1.9453	0.34956	0.0037	0	0	0	0	0.02032	0	0	0	0	0.00016	0.16621	0	0	0.00618	0	0.00072	0	0.05691	0	0	0	4.88408	0.03059	0	0	0.00787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.22783	0.07429	0.11811	0.29456	0.00595	0.08188	0.00794	0.03414	0.05513	0.24081	0.05077	0.91897	0.18104	0.37416	0.07606	2.57091	0.62903	0.22702	0.00653	0.03679	0.18164	0.23068	0.08791	0.10622	0.09314	0.28413	0.02701	0.06258	0.01434	0.01117	0.0474	0.26325	1.38555	0.35493	2.11182	0.00957	0.60457	0.62759	0.1431	0.07052	0.08543	0.09457	0.34795	0.05909
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.21439	0.07865	0.41548	0.39221	0.21388	0.29146	0.07591	0.29303	0.19945	0.14786	0.06686	0.40687	0.12829	0.16704	0.56169	0	0.20328	0.38694	0.08131	0.24328	0.13557	0.07671	0.07564	0.07822	0.12294	0.04535	0.02573	0.06456	0.26094	0.14962	0.00535	0.12242	0.25414	0.21367	0.08414	0.21006	1.17086	0.64677	0.34289	0.97082	0.42101	0.15955	0.61133	0.01142
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0.20323	0	0.14247	0.1095	0	0.72775	0	0	0.00101	0.14854	0	0.10207	0.16367	0.09736	0	0	0	0	0.01827	0	0	0.05254	0.00865	0.14298	0	0	0.04968	0.06959	0.61416	0.00573	0.06023	0	0.32693	0	0.05824	0.02287	0	0	0	0.17279	0.05448	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.20323	1.65401	0.0212	0.51367	0.09171	0.17319	2.19345	0.44629	0.52567	0.44673	0.58412	2.7975	0.29975	1.2432	0.09478	5.78319	0.17338	1.17999	0.1974	0.5115	0.06234	0.26108	0.18609	1.1878	1.3299	2.44761	0.34421	1.40474	0.01237	0.13085	1.77065	0.20844	3.18938	0.16225	0.27813	0.45011	3.14972	6.68289	2.07529	0.43714	0.12644	0.1724	0.20291	0.54907
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.1651	0.30453	0.05894	0.03917	0.60298	3.71932	13.51442	0.67105	2.17803	0.16848	0.44811	0.65654	0.22704	0	0.71442	11.37482	0.50247	0.15679	0.25493	0.15689	0.12626	0.97439	0.00651	0.19981	0.0217	0.90184	0.0393	1.74093	1.52543	1.34843	0.26399	0.06573	0.47236	0.06819	22.4651	1.30089	10.94722	1.31257	6.07909	1.57944	0.55407	0.33845	1.67429	0.92523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.13131	0.03039	0.02778	0.0345	0	0	0	0	0	0.018	0	0.01862	0	0.00119	0	0	0.03223	0.01378	0	0	0	0	0	0.0059	0.02189	0.01967	0.00377	0.03041	0	0	0	0.01183	0.86218	0.01217	0.14025	0.00168	0	0.06409	0	0.00412	0.01856	0	0.00247	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella	0.11647	0.02653	0	0	0	0	0.00782	0	0	0	0.03028	0.00794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02501	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira	0.07856	0	0	0.20194	0	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.7881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.04645	5.04819	0.21999	0.37663	0.14227	0.38133	10.66978	1.04916	1.31712	2.21339	6.3657	15.36641	4.76887	8.85712	0.47112	36.36295	5.47851	3.05105	0.93415	3.08658	0.21121	2.47935	1.59911	4.28024	19.73868	12.27405	3.20843	1.91759	0.02481	0.03875	53.79365	1.23787	13.68147	1.23974	7.20102	1.01714	18.91464	30.77035	29.63899	1.80799	3.46974	0.09653	2.78746	16.06897
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.03261	0.3913	0.11355	0.14217	0.00249	0	0.0479	0.27644	0.11903	0.56723	10.68233	10.55921	1.47178	9.63304	0.03257	0.26328	0.10891	0.85798	0.27453	2.43175	0.03606	0.47096	0.05199	1.41031	10.39205	1.4854	0.20641	9.12516	0.03907	0.00755	2.70334	0.22133	0.78534	0.21844	0.00526	0.33629	0	3.77509	4.94047	1.08706	0.0032	0.00856	0.68637	0.42147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus	0.02343	0	0.01646	0	0.01368	0.11163	0	0	0	0.0599	0.03046	0	0.01201	0	0.07087	0	0.14776	0	0	0	0	0.01639	0.02736	0	0.02755	0.00313	0	0	0	0	0	0.18472	0	0.08658	0.11812	0.04026	0.11007	0	0	0.04905	0.01114	0	0	0.00699
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0.0203	0	0.2187	0.01671	0	0	0	0	0	0.01765	0	0	0	0	0	0	0.14127	0	0	0	0	0	0.12545	0	0	0	0	0.00272	0	0	0.0193	0.0764	0	0.10206	0.03047	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.01034	0	0.06136	0.02361	0.0224	0.00517	0.01052	0	0	0.01308	0.00203	0	0	0	0.07351	0.00673	0.08929	0	0	0.01398	0.00164	0	0.05071	0	0	0	0	0.01127	0.01779	0	0.03768	0.29305	0.03342	0.35178	0.17971	0.01751	0.0117	0	0.01186	0	0	0	0	0.00013
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0.00966	0	0.00679	0	0	0.00395	0	0	0	0	0	0	0	0	0	0	0.01236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02472	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.00611	0	0.01534	0.06894	0.00326	0.0127	0	0.02384	0.02261	0.00571	0.04145	0.04152	0.04884	0.02018	0.04895	0	0	0.0442	0.04677	0.02912	0.05453	0.01539	0.00277	0.01865	0.01169	0.01887	0.0096	0.00795	0.00248	0.03634	0	0	0.01948	0	0	0.0135	0	0.00121	0.02393	0	0.00387	0.01548	0.03298	0.0037
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	29.75329	37.50465	35.7592	22.15647	35.36611	30.62225	0.36584	10.96791	50.33814	42.79173	0.79131	3.12669	8.94438	0.96025	15.06727	0.00157	3.25302	51.68834	8.74099	40.96456	10.09182	17.96509	43.59134	49.78592	5.82274	0.00018	30.86331	23.91095	51.21317	18.12193	0	22.66404	14.73885	16.90278	10.90832	36.95706	13.46209	7.83465	0.00328	14.52136	21.42955	13.51298	1.30291	0.2188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	12.30136	1.29818	5.15084	0	1.02612	3.077	0	47.42312	0.92464	0.15078	23.04379	7.17825	0	19.54272	0.27825	0	0.18339	0	18.43346	5.11462	36.80929	1.85474	0.00648	0	2.82212	5.99481	2.00041	0	0.00656	24.18679	1.01787	0	0.0773	0	0	11.09701	0	0	0	0	11.85975	7.01751	0	0.02892
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	11.32442	16.95229	2.47958	13.58969	23.04186	13.3422	0.24712	5.92442	7.72256	7.00732	0.00031	0	0	0	13.70488	0	0	0.03389	0.05168	0.02582	1.66309	5.53718	7.89854	0	0.0328	0	5.00859	0	4.42146	4.98297	0.00714	20.0925	0.57734	20.04613	0	9.09552	0.24206	0	0	0	3.28437	12.95826	0.46974	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	8.99282	0.08569	15.54353	13.90108	0.50549	1.24802	0.00717	1.21149	3.89496	8.30697	1.98817	0.34933	1.66689	0.88138	3.40783	0	7.10134	2.84815	18.16359	6.62233	0.24499	2.97477	1.99652	0	16.3522	29.59209	2.92302	29.16537	2.68904	3.92589	10.05998	17.93835	5.96787	16.61343	0	0.00495	14.88691	7.32978	12.14977	11.639	32.86584	19.12784	9.92409	21.08719
