	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	0.00021	7e-04	3.66554	0	0	0	0	1.18501	0	0.07344	0	0	0	0.25377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.29094	0.28532	0.00339	0	3.52057	0	0	0.16048	0	0.07199	0.297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	17.19984	0.00078	1.32822	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	2.01079	0.00416	5.8493	0	0	0	0	0	0.04092	0	0.01585	0.20727	0	0	0	0	0	0	0	1.02528	0	0.00244	9.24034	5.54623	0	18.14505	0	51.72735	0.0041	0.0287	7.68294	0	6.25069	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	15.47109	0	8e-05	1.35015	0	0	0	24.2041	1.19468	9.5321	0.00026	0.01069	0	0.02551	0.1842	2.54538	0	0.63288	1.40855	2.377	0	2.24859	0.00122	11.31136	0.02127	3.51187	0.17106	0	1.82814	4.06012	0.05568	0.06349	0.01012	1.4641	0.02015	7.22188	0.00076	1.0056	0	0	5.62379	0	1.43326	0	7.29708	1.79267	0	0	0.00975	1.13543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	14.11266	3.96459	0.55725	44.61965	17.066	19.60045	41.96479	11.53981	30.42159	18.68646	31.43055	6.78357	2.56628	15.65951	79.71128	38.97475	0.27459	25.32479	18.70876	13.09591	28.73817	25.23846	1.84941	30.94968	8.01698	7.16068	1.30592	67.29094	28.6035	32.68553	14.9497	17.80972	0.03361	16.82837	31.34503	5.65495	51.95592	45.58079	0.0015	0.00092	5.27716	17.09276	13.26398	6.85234	29.87033	21.2194	58.56553	42.00848	0.65419	8.65361
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	9.41473	7.38939	0.00033	14.94193	25.12695	38.06612	29.03753	8.86238	19.20019	8.37091	25.36627	1.02421	6.47139	5.22113	0.96818	16.89748	0.00963	21.07306	24.22204	20.93434	42.41895	33.59885	26.38356	15.71233	1.40399	45.50991	0.86948	3.96605	16.83732	11.88578	16.1193	16.59946	0.03193	11.676	1.47355	14.35063	2.58307	15.69153	0	0	18.25308	0.18552	4.47065	0	6.09078	0.65302	1.50988	19.53553	0.03739	9.53794
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea|t__GCF_000235885	8.58107	1.33106	0	0.01418	0.38014	0.33881	0.88377	2.75395	1.09745	2.10816	3.43568	2.75632	0.00517	12.18386	5.81212	0.59052	0.14002	2.09345	0.01494	0.01522	2.73766	0.77546	2.54413	1.70944	0.00701	4.26559	0.13124	0.00307	3.30268	1.3185	0	0	0.00301	2.30928	24.3812	2.48079	3.67856	2.83386	0	0	0.62258	0	1.74764	0	0.62534	0.20863	0.99419	0	0.00219	1.39676
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000210735	5.31403	0	0	0	1.67105	1.04581	0	0	0	0	3.80388	0	9.74868	1.81882	0	0	7.19732	1.42022	2.98192	0	0	0	10.92799	0	2.99781	0	0.12618	0	0.69716	0	0	0	0	1.85658	0.66345	2.47398	1.18274	0.84906	0	0	0	20.89436	0	0	1.23862	1.2252	11.12463	0	2.35087	1.4504
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	5.05338	0.37045	0	0.10162	0.10284	0.10737	0.29338	1.10796	0.18155	1.90839	0.23268	0.30913	0.64776	0.78538	0.21499	0.45758	0.02374	0.54514	0.03641	0.2506	0.01891	0.14385	1.31172	0.17109	0.05102	0.52024	0.01395	0.02801	0.11461	0.38204	0.02159	0.03551	0	0.32848	0.07202	0.20422	0.05033	0.0856	0	0	0.86896	0.01308	1.03349	0	0.38766	0.00749	0.08974	0.20725	0	0.4258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195	4.50713	0.28221	0	1.06026	0.02145	0.07612	3.16111	0.12156	0.65036	0.15568	0.58149	0	7.61295	1.70099	0.3011	0.02521	0.00029	0.24529	0.48074	0.41722	3.41374	0.5918	2.91913	0.21058	0.64443	0.5219	0.02297	0.68041	2.87006	0.58563	0.93609	1.16008	0	0.10311	2.83544	0.21886	0.45013	0.46449	0	0	0.83792	0.17759	0.17432	0	0.83341	0.37139	0	0.44221	0	2.42158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000162015	3.61186	1.27505	0	1.41096	1.61503	0.83138	0.55094	0	0	2.22656	1.46422	3.16955	1.03368	2.60487	0	0	0	2.144	0	0	0	0.87457	0	2.98126	1.00185	0.83553	0	0	1.13179	1.50449	0.72157	0.69167	0	1.31085	1.24775	1.61048	1.22386	0	0	0	2.02377	0	0	0	1.77326	1.69539	0	0.87358	0	1.43329
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis|t__Lactobacillus_ruminis_unclassified	1.78617	0.00668	0.59728	0.24438	11.88219	4.9448	0.13287	0.27557	0.47497	0.0086	0.13738	0.18837	0	1.37923	3.12859	1.21731	0	0.06445	0.30605	0.08129	0.18656	0.6179	0.16037	0.50145	1.92512	0.6797	0.17736	0.00301	3.80256	0.0156	0	0	0.00041	3.48771	8.05257	3.63411	2.31333	1.37918	0	0	3.02462	0.39786	0.11101	0	0.09854	0.84992	6.27659	0.90003	0.02017	0.62747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	1.66349	2.38735	0.19349	0.69078	1.79081	0.64831	0.4592	3.17577	2.65943	4.49698	2.57008	4.56552	0.85503	1.21414	0.73998	2.15137	0.17966	1.45715	1.28774	0.54917	0.45505	0.55447	1.3238	2.42224	3.32946	0.13551	0.03403	0.07174	1.26249	1.62165	3.70538	3.34756	0.00085	3.66516	0.7415	0.99992	0.23105	0.48106	0.02724	0	4.2916	1.89368	4.64669	3.19552	4.71547	0.54092	1.00671	0.85121	4.93332	1.51903
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens|t__GCF_000188175	1.52911	9.81199	0	0.07878	0.73374	0.4436	2.94374	0.23369	0.60012	0.35806	2.29926	0.76121	0	0	0.10897	0.19219	1.27198	2.12799	0	0.1064	0.89621	0.00793	0.24689	0.04678	4.29124	0.02601	0.0392	3.30105	0.15343	0.09231	0	0	0	0.49096	4.10174	0.00208	0.50292	4.86029	0	0	0	0	0.4705	0	0.08267	0.08751	1.07788	0	5.76689	0.48873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	1.38445	0.30179	0.08391	0.24876	0.2205	0.40754	0	0.49361	0.33342	0.24976	4.63593	0.32552	0	0.4255	0.02914	0.54101	0.40159	0.25963	1.58347	0.31361	0.59219	0.10405	1.74695	0.14468	0	0.26253	0.02259	0.32098	0.4672	0.12044	0.17007	0.21674	0	0.33135	0.29071	0.1688	0.18226	0.25155	0	0.68267	0	0.06016	0.15962	0.17517	0.35579	0.05189	0.6721	0	0.04077	0.39566
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	1.37398	42.77484	0.31952	24.97865	25.6611	15.20227	9.26798	12.48895	12.20147	22.97735	11.75596	52.52386	25.97578	21.93246	4.94732	8.25025	2.53432	20.82763	12.24511	13.67555	11.16797	6.07672	0	11.91776	1.22442	16.87324	0.66967	11.39336	12.40262	28.28857	45.39405	39.64296	0.06049	27.93147	10.69002	18.7554	21.50878	15.55825	0.00089	0.00305	18.02678	0	34.63977	0.51207	17.78337	37.86764	0	9.70496	1.05304	33.09496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified	1.01937	0.26986	0.00063	0.16533	0.53272	0.36648	0.14975	0.91405	0.81417	1.40799	0.51379	0.50472	1.13989	0.23694	0.07015	0.61476	0.22641	0.33564	0.20005	0.28195	0.08642	0.09006	0.76901	0.3074	0.2449	0.0796	0.02888	0.1759	0.28251	0.36598	0.06716	0.08444	0	0.37765	0.05046	0.21899	0.15391	0.09028	0	0	0.7345	0.02051	1.21001	0.00195	1.10593	0.04992	0.08042	0.34281	0.0304	0.33375
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	0.63544	0.00121	0.01127	0	0	0	0	0	0	0.0256	0.04131	0.02417	0.72962	2.87653	0.01054	0.00232	8.93071	0	0.05324	0.02262	0	0	0.5011	0	1.01011	0	0.05866	0.30957	0	0	0.2315	0.319	0	0	0.00426	0.65078	0	0.08784	0	0	0.12535	1.09299	0	0.36517	0.00051	0	0.15239	0.56623	0	0.09699
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	0.62536	0.07308	0.05538	0.12449	0.11935	0.12272	0.17934	0.50844	0.43419	0.37215	0.31467	0.26814	0.97561	0.20951	0.01917	0.04217	0.23259	0.05988	0.03238	0.07112	0.03807	0.07312	0.39675	0.06323	2.28761	0.07722	0.00787	0.03143	0.05401	0.0873	0.04385	0.04565	0	0.07858	0.00811	0.12875	0.01869	0.06524	0	0	0.15639	0.02582	0.16387	0.1916	0.15852	0.00227	0.16587	0.09343	0.03486	0.13239
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	0.61137	0.10019	0	0.03974	0.9712	1.66349	0	0.02097	0.25875	3.90564	0	0.19922	0.02859	0.04961	0.00178	0.00207	0.75484	0.13834	1.52536	0.46553	0.51738	0.04583	0.27447	1.37569	0.05004	0.23497	0.00588	0	0.31818	0.02945	0.66222	0.70406	0	0.22688	0.01369	0.0958	0	0.20465	0	0	0.2921	0	2.02964	0	0.20615	0.05242	0	0.10608	0	0.22311
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	0.56849	0	0.00066	0.0099	0.02675	0.02003	0.51574	0.00297	0.13482	0.0418	0.44018	0	0.08384	0.00698	0.09528	0.09873	0.02257	0.15332	0.02005	0.02074	0.21252	0	2.60827	0.01253	0.00703	0	0.00307	0.01929	0.02791	0.01689	0.00088	0.00033	0	0.04127	0.01227	0.02012	0.04597	0.03576	0	0	0.1103	0.00341	0.04183	0	0.00592	0	0.02278	0.04772	0	0.07154
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	0.49778	0	0.00247	0	0	0	0	0	0	0	0.00042	0	0	0	0	0.00073	1.43998	0	0.10309	0	0	0	0.0161	0	0.00184	0	0.00203	0	0	0	0	0	0.11595	0	0	0	0	0	0.76716	0.95686	0	0.61775	0	6.65485	0	0.00833	0.66501	0	31.53005	0.00034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505	0.41616	0	0	0	0	0	0	0	0	0	0	0	0.24313	0.19937	0	0	0	0	0	0	0	0	0	0	4.93353	0	0.00502	0.17946	0	0	0.10444	0.10963	0	0	0	0.04017	0.02115	0	0	0	0	0	0	0	0	0	0	0.15485	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	0.40539	0.41679	0	0.52166	0.2733	0.30054	0.24859	0.95562	0.85322	1.62854	0.73946	0.41168	0.59596	0.27992	0.07058	0.5829	0.11397	0.66933	0.87988	0.73327	0.17707	0.44266	0.18645	0.66876	0.44411	0.48326	0.02127	0.03614	1.46631	0.74121	0.15788	0.16759	0	2.48205	0.35947	0.08983	0.63328	0.30089	0	0	0.71733	0.14979	0.63241	0	0.71349	0.16316	0.0681	1.09497	0.00318	0.4086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.28478	0.03291	0.0086	0.22864	0.03098	0.06392	0.00325	0.20405	0.00737	0.28898	0.00501	0.18373	0.05671	0.10113	0.07601	0.09162	0	0.03143	0.04328	0	0.03636	0.24372	0.00761	0.03537	0.00803	0.01491	0.71538	0.06724	0.14987	0.20497	0.02035	0.024	0.0074	0.06606	0.00724	0.02513	0.11304	0.03045	0.0279	0.23621	0.09318	0.01748	0.00112	0.04272	0.19371	0.02284	0.08979	0.06432	0.07144	0.10884
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	0.27279	0	0.00438	0.40219	0	0	0	0	0	0	0.23864	0	0.68855	0.42881	0	0.00124	3.26843	0	1.43782	0.04231	0	0	1.42453	0	5.55266	0	0.02699	0.59112	0	0	0.76554	0.96113	0	0	0	1.03213	0.08685	0.01016	0.34769	0	0.36749	1.84744	0	0	0	0	0.21731	0.11345	2.22244	0.02442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii|t__GCF_000154445	0.25507	0.15759	0.00151	0.02226	0.02128	0.01183	0.13033	0.298	0.73049	0.11934	0.02092	0.002	0	0.00687	0.02322	0.1382	0.03934	0.32552	0.06911	0.01744	0.04014	0.06742	0.15188	0.0112	0.04968	0.39429	0.01924	0	0.14951	0.22313	0	0	0	0.06267	0	0.03585	0.00845	0	0	0	0.33482	0.0092	0.85743	0.03212	0.11138	0.00639	0.0906	0	0.22306	0.12948
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__GCF_000156375	0.19187	2.86545	0	0	0.17215	0.12746	0	0	0.11207	0.51747	0	0	0	0	0	0.41583	0.4014	0	0.37386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10973	0	0	0	0	0	0	0	0	0	0	0	0.11658	0	0.07155	0.18552	0.17381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345	0.17238	0.08125	0	0.03085	0.13293	0.30084	0.01503	0.21183	0.14326	0.18825	0	0.06758	0.0127	1.84774	0.00123	0.04712	0.42361	0.01158	0.06041	0.13675	0.04586	0	0	0.88188	3.61643	0.07048	0.00352	0	0.89972	0.00254	0.87515	1.0945	0	0.1376	0.28294	0.00281	0.06499	0.22587	0	0	0.06268	0.01211	0.01929	0	0.53591	0.28673	0.01007	0.23343	0.04384	0.79243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	0.15487	0.0879	0	0.0096	0.09615	0.10939	0.12157	0.01042	0.15149	0.05752	0.13005	0.04797	4.42934	0.13969	0.00119	0.12322	0	0.10157	0.04523	0.04395	0.20809	0.01566	0.0086	0.018	0.13461	0.00072	0.00038	0.00183	0.08463	0.01808	0.02646	0.02732	0	0.07014	0.01525	0.03077	0.01771	0.05802	0	0	0.0383	0	0.03226	0	0.02824	0	0	0.04685	0	0.11542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895	0.12382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11869	0	3e-04	0	0	0	0	0	0	0	0	0.06943	0	0	0	0	0	0.28793	0	0	0	0	0	0.12865	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555	0.11723	0.69235	0	0.07689	0.21609	0.13342	0.19213	0.64185	0.24415	2.82893	0.04793	0.50739	2.39537	0.48058	0.0233	0.5219	0.2239	0.51663	0.13048	0.40769	0.26849	0.11899	0.2596	0.20127	0.39501	0.09511	0.01193	0.06731	0.42254	0.15831	0.10236	0.13153	0	0.67426	0.06806	0.31015	0.12874	0.15874	0	0	1.28288	0.00478	0.58728	0	0.99452	0.01316	0	0.75904	0.00325	1.13616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365	0.11323	0	4e-05	0	0	0	0	0	0	0	0	0	0.03835	0.0372	0	0	1.85081	0	0.03817	0	0.04216	0	3.24384	0	0.30062	0	0.00439	0	0	0	0.07512	0.10424	0	0	0	0.01969	0.0064	0	0	0	0	0	0	0	0	0	0	0.23865	0	0.00158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	0.09723	0	0	0.00673	0	0	0	0	0	0	0	0	0.51728	0.04303	0.01122	0	4.28193	0	0.00889	0.0864	0	0	0.23257	0	0	0	0.01518	2.8861	0	0	1.13249	1.64624	0	0	0	0.03066	0.01825	0.00112	0	0	0.08579	0	0	0	0	0	0	1.64649	0.00466	0.00465
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii|t__GCF_000239295	0.07478	0	0.00035	0	0	0	0	0	0	0	0.00118	0	0.01567	0	0	0	0.01002	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06414	0	0.00474	0	0	0	0	0.00571	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_F|t__PRJNA14487	0.07447	0.21008	88.2421	0.08063	0	0.06611	0.03905	0.15539	0.15821	0	0	0	0	0	0	0.14307	0	0	0	0	0	0	0	0	0	0	0.0283	0	0	0	0	0	0	0	0	0	0.02181	0	0	0	0	0	0	0	0	0	0	0	0.03136	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0.06153	0	0.00068	0.00769	0.0132	0.00592	0.13939	0	0.17255	0.05321	0.93633	0	0.02309	0	0.04535	0.07081	0.00862	0.09495	0	0.02248	0.1287	0	6.19883	0	0.00668	0	9e-05	0	0.01825	0.01394	0	0	0	0.02367	0	0.00623	0.01982	0.00675	0	0	0.01879	0.00265	0.12922	0	0.00783	0	0.01011	0.03216	0	0.04499
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini|t__GCF_000230275	0.05882	0.01368	0	0.07819	0	0	0	0	0	0	0	0	0	0	0	0.01475	0	0.00601	0	0.00196	0	0	0	0.00919	0	0	0	0	0.00083	0.01397	0	0	0	0	0	0	0	0	0	0	0	0.00421	0	0.00479	0.03278	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0.05105	0	0.00488	0.09558	0	0.00035	0	1.37333	0	0	0.00616	0	0.00613	0	0.00184	0.0029	0.54536	0	0.432	0.81464	0	0.00606	0.37594	0	0.34806	0	0.1096	0.00731	0.00405	0.44992	1.23267	0.95846	81.27124	0.0048	0.00348	1.62897	0.50624	0.01133	87.54307	7.78793	3.04622	1.36578	0.01702	10.71257	0.0185	0.07585	0.06688	0.00545	1.73381	0.07413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified	0.04471	0.15693	0	0.10611	0.37342	0.72748	0.35143	0	0	0	0	0	0.06791	0.20398	0	0	0	0.00718	0.21305	0.00784	1.69801	0.36518	0	0	0.2568	0.02533	0.00497	0	0.02929	0	0.01552	0.02049	0	0.147	1.78579	0	0.02457	0.09106	0	0	0	0	0	0	0.01515	0.88192	0	0.11365	0	0.01609
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	0.03487	0	0.00787	0	0	0	0	0	0	0.036	0.00507	0	1.06139	0.50233	0	0	0.14824	0	0.06093	0.00449	0	0	0.05815	0	0.16773	0	0.03187	0.61928	0	0	0.06516	0.05639	0	0	0	0.08019	0.0192	0.1111	0.37222	0	0.14257	0.38361	0	3.53286	0	0.00804	0.00542	0.19967	7e-05	0.2402
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae|t__Lactococcus_garvieae_unclassified	0.03439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile|t__GCF_000156035	0.02736	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.00194	0	0	0	0	0	0	0	0	0	0	0.00725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08187	0	0.24379	0	0	0	0	0.04097	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545	0.02706	0.0622	0	0.05371	0	0	0.98852	0	0	0.05662	0.78524	0	0	0.01908	0	0	0	0	0	0	0.56168	0.09174	0.62316	0	0.10216	0.02204	0	0.19592	0	0	0	0.02586	0	0	0.02746	0	0	0	0	0	0	0	0	0	0	0	0.16039	0.47132	0.03555	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_muris|t__GCF_000338055	0.02063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA|t__GCF_000218385	0.02014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus|t__GCF_000155855	0.01964	0	0	0.01928	0.13473	0.81538	0	0.11147	0.3029	0	0	0	0.39038	0.07085	0.01428	1.90772	0.06901	0.04938	0.08933	3.1557	0	0.00403	0	1.72497	0	0.01315	0.00522	0	1.13801	0.1568	0.01811	0.02718	0	0.1057	0	0.04038	0.17469	0.05065	0	0	0.0892	0	0.01768	0	0.5134	0.17588	0	0	0	3.30003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum|t__GCF_000153885	0.0183	0	0	0.02409	0	0.00246	0.22227	0	0.07341	0.02402	0	0	0.22254	0.01976	0	0	0	0.14775	0	0.01042	0	0.01974	0	0.03005	0	0.00708	0.00421	0.00648	0.00171	0.01413	0.00789	0.00468	0	0.03422	0	0.05858	0.02347	0.03091	0	0	0.13327	0	0	0	0	0	0	0.02806	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified	0.018	0	0	0	0	0.02166	0	0	0	0	0	0.00686	0	0	0	0	0	0.02214	0	0	0	0	0	0	0.01384	0	0.00042	0	0	0	0.01361	0.0063	0	0	0.01703	0	0	0	0	0	0	0	0.00563	0	0	0.0238	0	0	0.00156	0.03904
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus|t__Micrococcus_luteus_unclassified	0.01679	0.01288	0	0	0	0	0.00305	0	0.00342	0	0	0	0	0	0	0.0895	0	0	0	0	0	0.02261	0	0	0	0	0.00585	0	0	0	0	0.00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02655	0	0	0
