	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2012FE_t3M15	CA_C10002MS2016FE_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10005MS2062FE_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2077FE_t4M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10007MS2098FE_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2114FE_t4M15	CA_C10007IS2113FE_t5M16	CA_C10008IS2120FE_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10009IS2138FE_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2149FE_t4M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t5M16	CA_C10009MS2134FE_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2352FE_t3M15	CA_C10019MS2314FE_t0M16	CA_C10019IS2329FE_t5M16	CA_C10020IS2336FE_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020MS2332FE_t0M15	CA_C10020IS2347FE_t4M15	CA_C10020IS2345FE_t5M16	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023MS2386FE_t0M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026MS2440FE_t0M15	CA_C10026IS2465FE_t4M16	CA_C10029IS2496FE_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029MS2492FE_t0M15	CA_C10029IS2503FE_t3M15	CA_C10031MS2526FE_t0M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2541FE_t5M16	CA_C10032IS2548FE_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2544FE_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034MS2580FE_t0M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035MS2598FE_t0M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10039MS2670FE_t0M16	CA_C10039IS2677FE_t2M16	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10042MS2724FE_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10043IS2749FE_t2M16	CA_C10043MS2742FE_t0M16	CA_C10049IS2854FE_t1M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049IS2857FE_t2M16	CA_C10049MS2850FE_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052IS2908FE_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10055IS2962FE_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055MS2958FE_t0M16	CA_C10055IS2973FE_t4M16
NCBI_accession	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria	99.26048	99.93028	100	98.83606	99.70221	99.86804	99.73165	100	100	99.96413	99.95517	33.81491	99.99136	99.93775	97.66488	76.52801	96.43356	98.5946	100	99.94642	99.97264	98.83337	97.97454	99.87131	100	99.95907	99.98375	99.97298	99.66199	7.11374	99.83916	99.98736	100	99.97495	99.93032	52.84536	40.11377	99.86647	99.86777	94.44668	99.86771	98.67967	95.57098	99.9252	98.85216	99.31198	32.18005	99.99029	99.76962	99.99741	100	100	100	100	100	100	100	16.27657	99.84808	100	100	97.31499	99.71114	99.09768	100	100	100	98.854	99.73599	100	99.06204	97.93754	100	100	99.44006	99.89998	98.81695	97.51665	100	99.82215	99.26235	99.78258	98.15727	99.94306	100	100	100	99.7269	99.09776	99.99432	100	100	99.85059	100	100	100	100	99.78923	100	99.44686	99.83656	100	99.9921	98.95481	99.76617	100	97.7353	100	99.95749	100	100	100	99.9498	100	99.95092	100	100	99.97602	100
k__Bacteria|p__Proteobacteria	99.13219	99.86173	81.85519	1.95982	0.05674	0.01094	9.58296	4.41201	58.79339	79.08214	0.01854	24.69613	35.19881	24.98533	1.30216	1.33957	0.05376	17.46456	82.72481	0.92074	91.42801	93.54779	77.53956	79.99673	13.8022	63.57801	98.09272	7.17477	15.55067	2.40357	1.70961	0.59552	59.78467	13.1195	1.05044	0.81286	9.07585	0.01607	0.57075	2.98667	97.01834	56.84119	0.03799	3.05425	9.39442	0.25086	12.08079	63.56441	2.40736	32.88572	3.10162	84.54925	11.61617	4.02522	87.10251	21.13515	12.10524	3.92379	1.77745	43.09889	45.8881	20.74384	4.99096	1.2763	0	5.00704	58.48513	3.1877	0.22664	4.00129	10.95447	16.09829	0.0204	80.92614	4.83294	62.22361	43.00569	21.0211	12.91986	95.3956	65.57583	25.80747	2.56822	2.43507	1.81242	50.07099	37.45433	21.65209	0.85426	1.01237	1.39906	22.60449	1.9315	98.47989	70.10664	23.82028	2.79099	58.27101	0.8207	19.77719	67.92264	78.90268	4.08092	89.05203	88.11074	72.43459	22.46384	94.98262	1.77963	10.26516	66.87512	93.30333	75.31333	50.92939	12.35242	16.81246	38.02903	3.48061	0.31292
k__Bacteria|p__Firmicutes	0.0365	0.05126	6.19118	58.41841	6.94444	1.20091	0.14354	5.45834	41.08474	0.87868	11.96276	2.1568	0.03084	0.69484	90.71619	36.07572	10.60067	2.514	2.91903	21.56903	6.61013	2.30937	3.97486	9.17043	40.75513	16.15497	0.94829	5.08918	40.22546	1.79716	5.66375	32.68596	40.07457	3.53599	32.49392	17.00097	6.94478	19.99107	8.35953	24.7516	2.44684	40.9506	95.35503	32.3642	49.74312	80.04954	8.8148	30.79988	25.61465	1.63502	2.26361	4.9252	0.26475	11.67465	3.23721	0.49181	2.68566	5.34897	0.03479	3.22439	1.06912	17.5406	45.70554	47.01557	3.67707	10.96339	22.09175	18.34603	0.00404	5.3714	43.57551	41.18487	6.89984	3.88152	17.48263	26.38965	18.76991	21.8423	87.03704	2.84599	27.08141	47.48486	18.44958	18.53553	12.75986	43.51459	58.99435	8.19183	0.95756	10.60598	31.85633	1.28717	15.79663	0.69557	16.26572	45.37096	19.45955	40.90211	0.24763	0	0.5609	19.64012	18.05706	2.10948	11.65421	27.48123	50.61085	4.94659	4.31609	8.29053	33.03754	6.69667	4.18828	16.37387	15.90168	0.25413	9.95941	15.20514	3.10968
k__Bacteria|p__Actinobacteria	0.06104	0.01614	0.27627	4.69871	34.69414	1.67785	56.8146	0.44159	0.12187	19.92816	1.62999	5.548	42.28975	6.71326	5.61755	38.99864	85.54076	24.73564	11.41549	1.53109	0.57973	2.97622	16.46012	10.70415	24.60569	9.97303	0.58762	87.6856	43.88586	0	92.42379	0.14997	0.14075	83.31727	3.09028	16.49019	6.4355	20.70775	0.35119	0.72244	0.17212	0.88757	0.17581	0.05315	11.28682	18.99775	7.48222	5.626	7.35848	65.45369	94.63476	2.15901	0.14737	0.38423	9.60948	25.41375	84.05982	4.3936	0.02602	30.99091	38.67204	4.50165	42.73114	49.25886	96.32293	5.07712	18.7383	61.96152	0.11782	0.32931	19.69529	1.00724	93.07713	15.10738	63.01191	11.25822	31.88805	47.41773	0.0431	1.53894	6.60152	0.3937	64.45556	65.73224	4.50569	6.41369	3.55132	58.66437	1.96173	1.08986	65.01405	37.85515	2.14999	0.44812	1.36769	8.94915	3.56517	0.23097	0.02474	0.52257	16.43073	1.4572	3.09135	2.69572	0.00122	0.06668	16.86855	0.05163	0.56645	2.71928	0.08734	0	20.02595	31.5288	8.68383	71.50763	52.01045	0.96613	96.57739
k__Bacteria|p__Bacteroidetes	0.03075	0.00116	11.67737	31.86271	58.00689	96.97835	33.19054	89.68806	0	0.07514	85.98948	1.37702	22.47196	67.54432	0.02897	0.10718	0.23837	53.88041	2.94067	75.88088	1.35478	0	0	0	20.83698	9.47826	0.33608	0.02343	0	2.91302	0.03961	64.96903	0	0.00219	62.86086	18.54134	17.27086	59.15158	90.56656	63.12153	0.22656	0.00031	0.00055	62.8482	28.4278	0.01383	3.26408	0	41.92867	0.02298	0	8.36654	87.9717	83.54003	0.04782	52.95929	1.14928	2.6102	98.00982	6.38516	14.37007	54.52891	5.61068	1.44247	0	71.61868	0.68482	14.68715	99.38749	90.298	24.83676	39.64225	0.00264	0.08496	13.75041	0.02099	4.92958	6.81385	0	0.02229	0	26.05814	11.97841	12.54371	75.9977	0.00073	0	10.8647	95.32054	87.24527	1.73056	38.25319	79.8445	0.37641	12.25995	21.33805	56.07699	0.3746	98.90693	79.14709	14.92229	0	73.87646	5.05929	0	0.01749	7.79206	0.01917	92.21424	47.71341	0	0	0.41808	0	62.95052	11.42578	0.00111	80.32414	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	99.13219	99.86173	81.30141	0.48191	0.05674	0.01094	9.58204	0.47403	58.79339	79.08214	0.00381	21.42157	35.18527	21.74888	1.1248	0.84292	0.03378	17.46007	82.7149	0.327	91.39386	93.54779	77.53956	79.99673	13.8022	58.80059	97.86114	7.07286	15.55067	2.40357	1.69715	0.35358	59.78467	13.11924	0.04291	0.57233	4.29215	0.00497	0.57075	0.1147	95.69208	56.83059	0.03371	0.17224	9.39442	0.05312	4.03296	63.56441	1.13411	32.24566	3.09893	83.21216	11.61617	0.11758	87.07002	21.13515	12.10524	1.29193	1.77454	41.58628	45.52944	19.9646	1.83406	0.39458	0	0.46985	58.48513	2.34263	0.1509	0.01553	4.86938	14.61807	0.0204	80.92614	3.87865	62.22361	3.63634	6.4305	12.90399	95.3956	65.57583	25.45403	0.96593	1.50399	0	50.07099	37.45433	1.17288	0.14222	0.03033	1.39872	22.60449	1.19852	98.45077	70.10664	19.50567	2.04861	58.27101	0.60679	19.77719	67.92264	78.90268	3.18637	88.85601	88.09915	72.43459	22.46384	94.98262	1.64064	3.15258	66.87512	93.30333	75.3035	50.92939	7.47424	0.04414	27.15563	0.01663	0.30069
k__Bacteria|p__Firmicutes|c__Clostridia	0.0365	0.00502	6.07255	52.10963	4.15885	0	0.00705	5.25824	17.03255	0.00908	5.98499	0.25344	0	0.02348	0.11403	0.81756	0.03805	0	0	11.51951	0.23192	0.05737	0	0	0	0.32814	0.03794	1.8633	4.92583	0	0.00641	7.92833	16.15852	0.01726	8.35494	9.72041	3.56587	19.61263	6.6293	22.67021	0.04574	9.33256	0.96652	29.9982	0.02094	0.31946	0.73505	0	25.52264	0.17753	0	0	0	11.61579	0.00426	0.05407	0.00131	0	0	2.82944	0.36033	15.7045	0.23961	0.03465	0	8.20231	10.24405	4.03374	0	4.07977	10.47041	36.13983	0	0	2.38194	0.01965	17.20117	18.17465	0.00056	0.00106	1.84706	47.13226	0.54878	0.81453	12.68736	18.6384	8.00296	0.85168	0.07826	6.85999	0.06061	0.08478	13.31907	0.3676	14.00933	0.3416	19.20417	0.12831	0	0	0	0	17.49026	1.33787	0	0.01712	6.32156	0.00562	4.29813	3.10888	0	0	0.00439	0	11.3056	0.0102	0	14.79862	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.06104	0.01614	0.27627	4.69871	34.69414	1.67785	56.8146	0.44159	0.12187	19.92816	1.62999	5.548	42.28975	6.71326	5.61755	38.99864	85.54076	24.73564	11.41549	1.53109	0.57973	2.97622	16.46012	10.70415	24.60569	9.97303	0.58762	87.6856	43.88586	0	92.42379	0.14997	0.14075	83.31727	3.09028	16.49019	6.4355	20.70775	0.35119	0.72244	0.17212	0.88757	0.17581	0.05315	11.28682	18.99775	7.48222	5.626	7.35848	65.45369	94.63476	2.15901	0.14737	0.38423	9.60948	25.41375	84.05982	4.3936	0.02602	30.99091	38.67204	4.50165	42.73114	49.25886	96.32293	5.07712	18.7383	61.96152	0.11782	0.32931	19.69529	1.00724	93.07713	15.10738	63.01191	11.25822	31.88805	47.41773	0.0431	1.53894	6.60152	0.3937	64.45556	65.73224	4.50569	6.41369	3.55132	58.66437	1.96173	1.08986	65.01405	37.85515	2.14999	0.44812	1.36769	8.94915	3.56517	0.23097	0.02474	0.52257	16.43073	1.4572	3.09135	2.69572	0.00122	0.06668	16.86855	0.05163	0.56645	2.71928	0.08734	0	20.02595	31.5288	8.68383	71.50763	52.01045	0.96613	96.57739
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.03075	0.00116	11.67737	31.86271	58.00689	96.97835	33.19054	89.68806	0	0.07514	85.98948	1.37702	22.47196	67.53862	0.02897	0.10718	0.23837	53.88041	2.94067	75.88088	1.35478	0	0	0	20.83698	9.47826	0.33608	0.02343	0	2.91302	0.03961	64.94966	0	0.00219	62.86086	18.54134	17.27086	59.15158	90.56656	63.10291	0.22656	0.00031	0.00055	62.8482	28.4278	0.01383	3.26408	0	41.92867	0.02298	0	8.36654	87.9717	83.54003	0.04782	52.95929	1.14928	2.6102	98.00982	6.38516	14.37007	54.52891	5.61068	1.44247	0	71.61868	0.68482	14.68715	99.38749	90.298	24.83676	39.64225	0.00264	0.08496	13.75041	0.02099	4.92958	6.65499	0	0.02229	0	26.05814	11.52583	12.52198	75.9977	0.00073	0	10.84873	95.32054	87.24527	1.73056	38.25319	79.8445	0.37641	12.25995	21.33805	56.07699	0.3746	98.90693	79.14709	14.92229	0	73.87646	5.02719	0	0.01749	7.79206	0.01917	92.21424	47.71341	0	0	0.41808	0	62.95052	11.42578	0.00111	80.32414	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	99.13219	99.86173	81.29213	0.20098	0.05674	0.01094	9.5628	0.36523	58.79339	76.22272	0.00381	20.94603	35.18527	21.62251	0.13798	0.48674	0.02829	17.38489	82.59435	0.09557	91.37313	93.54779	77.53956	79.18886	13.8022	56.14928	97.68451	5.8538	15.55067	2.40357	1.69558	0.32661	59.78467	13.11795	0.04291	0.49034	1.04944	0	0	0.01928	0.00165	56.67745	0.00327	0.17224	9.07967	0.01892	1.13269	0	1.11477	25.97779	3.02023	82.79171	11.61617	0.11021	87.05633	21.13515	12.08026	0.53583	1.77454	41.58571	45.52885	19.9646	0.10514	0.0132	0	0.46985	58.48513	1.61713	0	0.01305	4.75053	14.37335	0	80.79487	0.88743	62.06774	2.53921	2.36292	0.00074	95.20105	65.57583	25.45403	0.36692	0.80066	0	50.06877	37.45433	0.33124	0.05333	0.03033	1.37998	22.60449	1.16897	98.42525	70.0849	0	2.04861	58.18283	0.52144	19.58366	67.92264	0	3.17737	88.01211	85.8084	72.43459	20.43803	0.06817	1.64064	3.15258	66.85797	93.30333	75.3035	50.75784	6.29538	0.01918	27.11848	0	0.17562
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.0365	0.00502	6.07255	52.10963	4.15885	0	0.00705	5.25824	17.03255	0.00908	5.98499	0.25344	0	0.02348	0.11403	0.81756	0.03805	0	0	11.51951	0.23192	0.05737	0	0	0	0.32814	0.03794	1.8633	4.92583	0	0.00641	7.92833	16.15852	0.01726	8.35494	9.72041	3.56587	19.61263	6.6293	22.67021	0.04574	9.33256	0.96652	29.9982	0.02094	0.31946	0.73505	0	25.52264	0.17753	0	0	0	11.61579	0.00426	0.05407	0.00131	0	0	2.82944	0.36033	15.7045	0.23961	0.03465	0	8.20231	10.24405	4.03374	0	4.07977	10.47041	36.13983	0	0	2.38194	0.01965	17.20117	18.17465	0.00056	0.00106	1.84706	47.13226	0.54878	0.81453	12.68736	18.6384	8.00296	0.85168	0.07826	6.85999	0.06061	0.08478	13.31907	0.3676	14.00933	0.3416	19.20417	0.12831	0	0	0	0	17.49026	1.33787	0	0.01712	6.32156	0.00562	4.29813	3.10888	0	0	0.00439	0	11.3056	0.0102	0	14.79862	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.02305	0.01614	0.27439	0.00184	0.47321	1.66731	0.13765	0.01473	0.12187	0.49963	0.48357	0.58521	0	0.13515	0.52421	8.49448	0.32873	0.38563	0.16235	0.27121	0.41353	0.08438	2.25983	1.88556	0.30897	9.7563	0.58488	0.36343	0.09832	0	0.202	0.02852	0.14075	0.04443	0.07402	0.45535	2.8254	0	0.00112	0.45452	0.1428	0.07504	0.1508	0	0.09715	13.04653	5.9033	4.45461	0	0.88797	0.33369	2.15901	0.00266	0	0.21092	0	0.55467	4.05776	0.01513	0.34404	1.14798	0.00659	5.79109	2.78778	2.91255	0.00633	0.30441	5.44808	0	0.00154	0.40161	0.85999	6.90841	2.83034	6.83303	0.22526	20.08716	22.02833	0.04289	0.03403	3.38305	0.01597	6.4795	5.53081	0	6.31508	2.01426	5.14733	0.40702	0.04499	3.99894	1.73363	0.06238	0.27958	0.00918	6.92431	0.1782	0.2	0.02474	0.52257	2.57762	1.4572	0	2.224	0.00122	0.06668	0.94963	0.04313	0.02927	0	0.08051	0	6.97232	1.06158	6.22681	0.41688	3.33599	0.00614	0.52441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.03075	0.00116	11.67737	31.86271	58.00689	96.97835	33.19054	89.68806	0	0.07514	85.98948	1.37702	22.47196	67.53862	0.02897	0.10718	0.23837	53.88041	2.94067	75.88088	1.35478	0	0	0	20.83698	9.47826	0.33608	0.02343	0	2.91302	0.03961	64.94966	0	0.00219	62.86086	18.54134	17.27086	59.15158	90.56656	63.10291	0.22656	0.00031	0.00055	62.8482	28.4278	0.01383	3.26408	0	41.92867	0.02298	0	8.36654	87.9717	83.54003	0.04782	52.95929	1.14928	2.6102	98.00982	6.38516	14.37007	54.52891	5.61068	1.44247	0	71.61868	0.68482	14.68715	99.38749	90.298	24.83676	39.64225	0.00264	0.08496	13.75041	0.02099	4.92958	6.65499	0	0.02229	0	26.05814	11.52583	12.52198	75.9977	0.00073	0	10.84873	95.32054	87.24527	1.73056	38.25319	79.8445	0.37641	12.25995	21.33805	56.07699	0.3746	98.90693	79.14709	14.92229	0	73.87646	5.02719	0	0.01749	7.79206	0.01917	92.21424	47.71341	0	0	0.41808	0	62.95052	11.42578	0.00111	80.32414	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	99.13219	99.86173	81.29213	0.20098	0.05674	0.01094	9.5628	0.36523	58.79339	76.22272	0.00381	20.94603	35.18527	21.62251	0.13798	0.48674	0.02829	17.38489	82.59435	0.09557	91.37313	93.54779	77.53956	79.18886	13.8022	56.14928	97.68451	5.8538	15.55067	2.40357	1.69558	0.32661	59.78467	13.11795	0.04291	0.49034	1.04944	0	0	0.01928	0.00165	56.67745	0.00327	0.17224	9.07967	0.01892	1.13269	0	1.11477	25.97779	3.02023	82.79171	11.61617	0.11021	87.05633	21.13515	12.08026	0.53583	1.77454	41.58571	45.52885	19.9646	0.10514	0.0132	0	0.46985	58.48513	1.61713	0	0.01305	4.75053	14.37335	0	80.79487	0.88743	62.06774	2.53921	2.36292	0.00074	95.20105	65.57583	25.45403	0.36692	0.80066	0	50.06877	37.45433	0.33124	0.05333	0.03033	1.37998	22.60449	1.16897	98.42525	70.0849	0	2.04861	58.18283	0.52144	19.58366	67.92264	0	3.17737	88.01211	85.8084	72.43459	20.43803	0.06817	1.64064	3.15258	66.85797	93.30333	75.3035	50.75784	6.29538	0.01918	27.11848	0	0.17562
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.03615	0.00502	0.39316	36.4073	0.00669	0	0.00358	4.06834	0	0	3.40683	0.1108	0	0.00742	0.06231	0.40372	0.02351	0	0	9.10403	0.19274	0	0	0	0	0.05714	0	0.01135	0.72112	0	0.00251	6.26696	0	0	3.13985	0.26326	0.68407	0	3.1292	10.39739	0.02487	0.00793	0.00078	10.10815	0	0.0143	0.33009	0	20.75178	0.12081	0	0	0	10.43426	0.00426	0	0	0	0	0.15045	0	2.64156	0.06227	0.00998	0	6.29213	0	3.26619	0	2.88625	0.00591	29.14235	0	0	1.64979	0.00183	11.80612	10.41203	0.00056	0	0	45.54067	0.44028	0.07131	11.09457	0	0	0.67168	0.05066	5.60152	0	0	7.43631	0.15223	0.0139	0	15.33681	0.06351	0	0	0	0	12.33435	0.63664	0	0	0	0	2.90095	1.78565	0	0	0	0	6.05877	0	0	5.18718	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.02305	0.00684	0.0137	0	0.04551	0.06751	0.07471	0.01473	0	0.02593	0	0.20578	0	0.00673	0.48029	8.20781	0.08745	0.32418	0	0	0.3886	0.01118	0.50471	1.14229	0	0.46741	0.02737	0	0	0	0.01765	0.00195	0.00034	0.02527	0	0.36663	2.21928	0	0	0.33321	0.02646	0.03474	0.02327	0	0	4.43623	1.84555	2.84567	0	0.14038	0.00733	0	0	0	0.01161	0	0	0	0	0.01024	0	0	0.44231	0.05773	0	0	0	2.48448	0	0	0.09655	0.01747	0	0.01242	3.55573	0.00997	18.82138	16.95064	0.00347	0.00374	0	0	3.49671	2.39762	0	0.00426	0	4.67789	0.31028	0	0.00612	0	0	0.08825	0.00522	0	0	0.15756	0	0	0	0	0	1.81218	0	0.0015	0	0.01107	0.01096	0	0.04594	0	0.02059	0.00768	5.66825	0	0.00185	0	0.14968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00384	0	4.17171	4.33666	0.00057	0	0.05486	24.04738	0	0	6.76151	0.76061	0	0	0.00502	0.02315	0.04527	0.05129	0.01007	0	0	0	0	0	0	8.82587	0.33608	0.01492	0	0.75865	0.00136	2.77537	0	0.00219	0	0.01197	1.08135	0	0.00519	0.01307	0.00317	0	0.00055	0	0	0.01383	2.23482	0	0	0	0	2.24679	0.00286	0	0.04044	0	0.00376	2.56395	0.01532	0.00642	0.02143	0	5.46361	1.4417	0	0.06106	0	11.25678	0.00052	0	0.00235	6.30987	0.00264	0.08496	11.31101	0.01631	0.0249	0.95041	0	0.02229	0	0.73216	11.42651	12.29489	0.16718	0.00073	0	8.79353	0.2409	0	0	0	0.73094	0.00473	0	21.33805	0.02805	0	0	0	0	0	0.0601	0.04929	0	0.01749	0	0	0.04888	1.52047	0	0	0.41789	0	0.01696	0	0	0.06844	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0.0093	0.26069	0.00184	0.42771	1.5998	0.04513	0	0.12187	0.4737	0.00069	0.29284	0	0.1264	0.02951	0.23379	0.23655	0.04284	0	0	0.01557	0.01537	0	0	0.07842	7.80415	0.51738	0.36343	0.00124	0	0.09681	0.02657	0.14041	0.00776	0.03778	0.08654	0.4976	0	0	0.11795	0.10934	0.0403	0.11056	0	0.01314	0.05372	3.81287	1.43337	0	0.45586	0.04913	2.15901	0.00266	0	0.17616	0	0.55467	4.05776	0.01513	0.33381	1.14798	0	4.84386	2.26426	2.91255	0	0.29744	1.32388	0	0	0.30505	0.37711	6.2576	1.08975	1.34166	0.02919	0.66132	4.60032	0.02875	0.00542	0.00707	0.0136	1.45198	1.3299	0	6.30956	0.23688	0.30219	0.00304	0.03979	3.98163	1.73191	0.01	0.19133	0.00396	4.10052	0.01222	0.01624	0	0	0.00683	1.40524	0	0.36376	0	0	0	0	0	0	0.00524	0	6.85995	0.15172	0.51131	0.41688	3.31092	0	0.3534
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.02691	0.00116	1.32927	12.11067	58.00494	96.97835	33.1252	11.47595	0	0.00368	5.09462	0.17035	11.97552	25.05165	0.00405	0.02113	0.00012	0.01149	0.00958	15.36284	0.28003	0	0	0	0.00161	0.43022	0	0	0	0	0.00055	18.34272	0	0	2.25831	7.0761	0.49559	1.02553	2.85731	4.36369	0.00147	0	0	3.70295	0	0	0.18687	0	2.96793	0.00169	0	2.12896	39.56072	14.44155	0	0	0	0	5.57055	1.54768	0.6047	7.88884	0.04781	0	0	21.85892	0.68482	0.06485	4.02468	8.35839	7.02493	2.17659	0	0	0.10156	0	0.2215	0.38457	0	0	0	9.82006	0	0.0098	3.0822	0	0	0.15261	69.80468	5.65302	0	25.71451	19.03532	0.02786	0	0	11.75555	0.01827	0	0	0	0	8.57684	0.17363	0	0	0	0	16.20018	6.2988	0	0	0	0	4.21176	3.43114	0	6.22743	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	98.15449	98.9248	77.16097	0.20098	0.05674	0.01094	0.94973	0.36523	58.77861	76.15369	0.00381	20.92621	35.16888	21.60838	0.05608	0.08822	0.00231	15.7916	80.98013	0.09557	91.33036	93.50109	77.49986	79.16083	13.8022	0.07762	3.31151	0.30036	13.78795	2.40357	1.6911	0.32122	59.73655	13.11795	0.04291	0.15115	1.04944	0	0	0.01928	0.00165	0.50882	0.00308	0.17224	0.18632	0.01892	1.13269	0	1.11477	2.879	0.1788	82.79171	11.61617	0.11021	87.04416	19.19622	12.08026	0.53583	1.77454	41.57855	45.51366	19.53213	0.10514	0.0132	0	0.39488	51.19895	0.75465	0	0.01305	0.85266	4.95007	0	54.63901	0.45973	61.9285	2.53921	2.30971	0.00074	8.7177	59.0334	25.42785	0.36692	0.79846	0	50.05088	36.47887	0.33124	0.05333	0.03033	1.37998	0	1.16897	98.36634	70.04495	0	2.04861	6.57142	0	19.58366	67.83084	0	3.17737	87.99799	85.8084	72.41588	20.43803	0.06817	1.64064	3.08546	66.60553	92.94063	75.23776	25.6535	0.20562	0.01918	27.11415	0	0.17562
