	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
number_reads	 30294666	 81883537	 25418232	 38081759	 39438932	 19062473	 39138330	 30671199	 43747326	 45633637	 34867280	 53084400	 30759822	 57633097	 42774365	 41358999	 53174765	 77590347	 48710424	 70837175	 49738186	 49538856	 53960657	 52360745	 43242999	 99214491	 64075210	 49597715	 61166943	 52914157	 62812281	 46135514	 35871763	 35239109	 39498710	  8935133	 31247549	 44015598	 44646147	 46747113	 58929404	 55177990	 59806516	 67949735	 35872614	 66354434	 28984164	 41996983	 36826795	 23582660	 65440177	 51872715	 49491053	 52018976	 70038406	 53070358	 33659817	 49299720	 36316653	 38426298	 66130906	 66850184	 62136875	 38699480	 60206197	 44167730	120649962	 83649364
number_bases	 3048809379	 8162246855	 2556515726	 3833047388	 3968591082	 1917353169	 3936859243	 3085529379	 4403171442	 4594767281	 3509513265	 5340627293	 3093804635	 5800632289	 4306267928	 4164408112	 5350339644	 7811231231	 4899958959	 7128578525	 5005003326	 4988633179	 5432981932	 5268704268	 4349436204	 9979989147	 6442653308	 4991907402	 6149305427	 5323599562	 6322501615	 4644240296	 3610156937	 3524366237	 3947800530	  894009356	 3142358591	 4418683629	 4473035146	 4690174909	 5904725026	 5539637900	 5987166581	 6809295737	 3607054584	 6675552736	 2916382533	 4221929914	 3707752969	 2374079637	 6587732639	 5222273425	 4982955823	 5235196986	 7039459591	 5339214657	 3386718871	 4963817074	 3657090596	 3867825273	 6625293303	 6717579210	 6217067137	 3885739392	 6054954675	 4404534612	12114147998	 8405395369
minimum_read_length	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
median_read_length	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
family_member	mother	father	other	father	mother	child	other	father	mother	child	child	child	father	mother	father	mother	mother	father	other	other	other	father	other	mother	father	child	mother	father	other	mother	child	child	child	father	mother	child	father	mother	child	child	child	mother	father	other	other	other	father	other	other	other	child	child	child	child	mother	child	father	mother	father	other	mother	father	child	child	child	child	other	other
family	TettAJ_2019_a_1	TettAJ_2019_a_1	TettAJ_2019_a_1	TettAJ_2019_a_2	TettAJ_2019_a_2	TettAJ_2019_a_2	TettAJ_2019_a_2	TettAJ_2019_a_3	TettAJ_2019_a_3	TettAJ_2019_a_3	TettAJ_2019_a_3	TettAJ_2019_a_3	TettAJ_2019_a_4	TettAJ_2019_a_4	TettAJ_2019_a_5	TettAJ_2019_a_5	TettAJ_2019_a_6	TettAJ_2019_a_6	TettAJ_2019_a_6	TettAJ_2019_a_7	TettAJ_2019_a_7	TettAJ_2019_a_7	TettAJ_2019_a_7	TettAJ_2019_a_7	TettAJ_2019_a_8	TettAJ_2019_a_8	TettAJ_2019_a_9	TettAJ_2019_a_9	TettAJ_2019_a_9	TettAJ_2019_a_10	TettAJ_2019_a_10	TettAJ_2019_a_10	TettAJ_2019_a_10	TettAJ_2019_a_11	TettAJ_2019_a_11	TettAJ_2019_a_11	TettAJ_2019_a_12	TettAJ_2019_a_12	TettAJ_2019_a_12	TettAJ_2019_a_12	TettAJ_2019_a_12	TettAJ_2019_a_13	TettAJ_2019_a_13	TettAJ_2019_a_13	TettAJ_2019_a_13	TettAJ_2019_a_13	TettAJ_2019_a_14	TettAJ_2019_a_14	TettAJ_2019_a_14	TettAJ_2019_a_14	TettAJ_2019_a_15	TettAJ_2019_a_15	TettAJ_2019_a_15	TettAJ_2019_a_15	TettAJ_2019_a_16	TettAJ_2019_a_16	TettAJ_2019_a_16	TettAJ_2019_a_17	TettAJ_2019_a_17	TettAJ_2019_a_17	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18	TettAJ_2019_a_18
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
NCBI_accession	SRR8803178	SRR8803179	SRR8803176	SRR8803177	SRR8803182	SRR8803183	SRR8803180	SRR8803181	SRR8803185	SRR8803186	SRR8803190	SRR8803191	SRR8803188	SRR8803189	SRR8803194	SRR8803195	SRR8803192	SRR8803193	SRR8803198	SRR8803199	SRR8803225	SRR8803224	SRR8803223	SRR8803222	SRR8803229	SRR8803228	SRR8803227	SRR8803226	SRR8803219	SRR8803218	SRR8803242	SRR8803241	SRR8803184	SRR8803187	SRR8803234	SRR8803238	SRR8803239	SRR8803240	SRR8803200	SRR8803201	SRR8803208	SRR8803207	SRR8803213	SRR8803209	SRR8803217	SRR8803210	SRR8803206	SRR8803204	SRR8803221	SRR8803220	SRR8803202	SRR8803203	SRR8803212	SRR8803205	SRR8803214	SRR8803232	SRR8803196	SRR8803197	SRR8803215	SRR8803216	SRR8803237	SRR8803236	SRR8803235	SRR8803211	SRR8803233	SRR8803243	SRR8803231	SRR8803230
k__Bacteria	99.02383	100	99.12379	100	97.99073	100	99.19984	100	100	99.96084	100	100	89.09535	96.87088	99.23583	94.99392	98.63244	99.79537	95.00638	99.89838	100	100	100	100	100	99.69853	93.48429	99.94674	99.97439	99.96776	99.86569	99.13791	99.81961	40.83885	97.43303	100	100	99.82419	99.67152	99.85084	98.39973	100	100	97.01095	99.93685	99.08099	99.21732	100	74.06254	100	98.72084	99.86275	99.82766	100	98.04467	99.98083	99.90455	99.91356	99.87425	99.64243	97.50708	99.81739	98.41817	90.37054	97.62109	94.74517	100	100
k__Archaea	0.91581	0	0.87621	0	2.00927	0	0.80016	0	0	0	0	0	7.56794	1.37355	0.76417	5.00608	1.35271	0.20463	4.822	0.09906	0	0	0	0	0	0	0	0	0	0.03224	0.06868	0.85624	0.18039	0	2.56697	0	0	0.17581	0.25476	0.14355	0.2887	0	0	2.98905	0	0	0	0	0.00283	0	1.27916	0.13725	0.17234	0	1.95533	0	0.09545	0.07203	0.12239	0	2.49292	0.18261	1.58183	9.62946	2.37304	5.2426	0	0
k__Viruses	0.06036	0	0	0	0	0	0	0	0	0.03916	0	0	3.33671	1.75557	0	0	0.01485	0	0	0.00255	0	0	0	0	0	0	6.51571	0.05326	0.02561	0	0.06563	0.00585	0	59.16115	0	0	0	0	0.01281	0	1.26384	0	0	0	0.06315	0.91901	0.78268	0	25.93463	0	0	0	0	0	0	0.01917	0	0.01441	0.00336	0.35757	0	0	0	0	0.00587	0.01223	0	0
k__Bacteria|p__Firmicutes	73.21344	56.74448	64.44329	28.75301	67.03962	32.73733	44.73948	15.12591	23.61465	20.26149	8.05631	42.10278	19.62786	40.83271	29.59005	38.82856	56.51408	43.1185	34.35612	38.4049	61.11862	33.55922	17.43258	40.70066	16.56679	20.15	36.10439	48.70967	37.58374	63.51296	30.3059	83.79096	54.27345	0.05815	41.53659	16.26988	49.15818	46.27271	21.42217	42.85994	45.61518	29.09933	17.38638	23.92783	59.54437	19.05289	5.74794	22.51852	23.75016	37.59133	51.61345	48.0385	28.9553	23.13436	35.84505	36.07149	60.37883	46.78466	28.24181	37.60843	47.32044	25.76698	47.76593	47.8281	41.91074	61.3604	34.57013	37.31152
k__Bacteria|p__Bacteroidetes	11.69017	41.73136	18.0751	59.64456	6.19677	66.70631	50.72737	84.06328	75.42399	78.09683	78.34739	49.31399	55.81823	42.4447	68.63023	43.3417	39.74324	36.49453	51.88215	58.01484	36.43284	60.96615	77.86147	46.85123	72.18004	63.76171	53.08005	50.62038	57.22126	34.66826	58.65339	13.20017	43.64676	0.8168	54.10592	76.92141	46.58039	44.89533	48.40173	47.35788	46.81872	69.90751	78.00318	63.32711	35.37471	75.08532	0.27318	45.79708	38.85637	61.30728	44.81581	48.7697	57.9443	58.12805	30.88021	39.56774	36.79301	50.88012	52.70117	54.74583	43.25606	67.62905	13.6056	29.90854	38.34867	21.42926	38.82129	59.79153
k__Bacteria|p__Actinobacteria	8.82389	0.12925	0.56961	0.80124	0.51655	0.21716	0.00118	0.00081	0.27083	0.05645	0.38695	3.43047	0.53941	0.60699	0.38102	0.30933	0.15889	0.2639	0.3169	0.1874	0.2602	2.98891	0.68562	3.06349	8.18929	2.04647	3.55622	0.0366	2.70831	0.1665	2.38657	0.27551	0.05247	0.13215	0.71376	2.47785	0.0971	0.82001	0.17558	0.11616	0.63427	0.05966	2.03247	2.85449	1.91151	0.77282	0.00074	9.78254	0.01165	0.01591	1.82319	0.08352	0.06965	0.2321	3.39132	9.04421	0.39496	0.53282	0.15714	3.07633	0.2601	0.4756	1.02091	1.73226	0.38134	0.56709	17.99768	0.2297
k__Bacteria|p__Proteobacteria	5.29634	1.3949	16.03579	10.67622	3.08135	0.3392	3.72391	0.80513	0.69052	1.54606	1.7749	5.13573	5.46939	12.42547	0.63454	10.44493	1.4956	18.47636	5.67536	0.77734	2.02252	2.48573	0.36802	9.37801	0.31312	13.74034	0.74362	0.5801	2.46109	1.58778	8.51983	1.86127	1.84693	39.83175	1.07677	4.33086	1.16715	4.21107	13.11876	3.39499	0.98569	0.90406	2.57797	6.90151	3.10472	4.14118	55.43869	21.90186	11.44436	1.08548	0.31539	1.64026	0.55202	2.65175	0.57753	13.66708	1.13367	1.71597	18.55782	3.80499	4.55201	2.53755	1.02851	0.68575	4.33888	3.81294	8.47388	2.54708
k__Archaea|p__Euryarchaeota	0.91581	0	0.87621	0	2.00927	0	0.80016	0	0	0	0	0	7.56794	1.37355	0.76417	5.00608	1.35271	0.20463	4.822	0.09906	0	0	0	0	0	0	0	0	0	0.03224	0.06868	0.85624	0.18039	0	2.56697	0	0	0.17581	0.25476	0.14355	0.2887	0	0	2.98905	0	0	0	0	0.00283	0	1.27916	0.13725	0.17234	0	1.95533	0	0.09545	0.07203	0.12239	0	2.49292	0.18261	1.58183	9.62946	2.37304	5.2426	0	0
k__Viruses|p__Viruses_noname	0.06036	0	0	0	0	0	0	0	0	0.03916	0	0	3.33671	1.75557	0	0	0.01485	0	0	0.00255	0	0	0	0	0	0	6.51571	0.05326	0.02561	0	0.06563	0.00585	0	59.16115	0	0	0	0	0.01281	0	1.26384	0	0	0	0.06315	0.91901	0.78268	0	25.93463	0	0	0	0	0	0	0.01917	0	0.01441	0.00336	0.35757	0	0	0	0	0.00587	0.01223	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	71.87916	50.27184	49.91052	26.09391	49.28071	31.68574	44.63899	14.86616	22.28945	20.2104	7.91957	41.87085	16.77844	34.16383	28.75243	36.66456	50.88493	28.99837	17.64759	28.59835	52.68183	30.70916	14.4272	39.54394	11.57422	19.61728	34.09436	44.51092	34.77756	56.27238	23.51393	65.17029	49.91891	0.00996	37.61198	8.06623	46.779	32.29341	17.63032	32.01769	29.51037	20.67665	16.80539	6.99591	54.47416	7.8475	5.13653	0.87138	10.15713	36.70033	47.6938	41.84096	22.49142	16.68993	35.55769	7.36338	56.21646	42.84559	24.66669	35.94295	39.768	23.94034	38.46146	34.22323	31.93141	50.78679	9.90778	36.06783
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11.69017	41.73136	18.0751	59.64456	6.19677	66.70631	50.72737	84.06328	75.42399	78.09683	78.34739	49.31399	55.81823	42.4447	68.63023	43.3417	39.74324	36.49453	51.88215	58.01484	36.43284	60.96615	77.86147	46.85123	72.18004	63.76171	53.08005	50.62038	57.22126	34.66826	58.65339	13.20017	43.64676	0.8168	54.10592	76.92141	46.58039	44.89533	48.40173	47.35788	46.81872	69.90751	78.00318	63.32711	35.37471	75.08532	0.27318	45.79708	38.85637	61.30728	44.81581	48.7697	57.9443	58.12805	30.88021	39.56774	36.79301	50.88012	52.70117	54.74583	43.25606	67.62905	13.6056	29.90854	38.34867	21.42926	38.82129	59.79153
k__Bacteria|p__Actinobacteria|c__Actinobacteria	8.82389	0.12925	0.56961	0.80124	0.51655	0.21716	0.00118	0.00081	0.27083	0.05645	0.38695	3.43047	0.53941	0.60699	0.38102	0.30933	0.15889	0.2639	0.3169	0.1874	0.2602	2.98891	0.68562	3.06349	8.18929	2.04647	3.55622	0.0366	2.70831	0.1665	2.38657	0.27551	0.05247	0.13215	0.71376	2.47785	0.0971	0.82001	0.17558	0.11616	0.63427	0.05966	2.03247	2.85449	1.91151	0.77282	0.00074	9.78254	0.01165	0.01591	1.82319	0.08352	0.06965	0.2321	3.39132	9.04421	0.39496	0.53282	0.15714	3.07633	0.2601	0.4756	1.02091	1.73226	0.38134	0.56709	17.99768	0.2297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5.28408	1.35465	15.80097	7.44697	0.47054	0.20996	3.72391	0.71659	0.66007	1.25101	1.46715	3.82569	5.31683	11.09119	0.60814	8.86612	0.71288	17.72475	3.39783	0.4837	1.07803	1.72393	0.03495	8.6831	0.16151	13.61407	0.69031	0.28035	2.25749	1.41838	8.28166	1.48685	1.55691	39.78494	0.76812	3.00166	0.08854	2.27423	0.39961	1.3224	0.72533	0.61176	2.4027	6.64727	1.62027	1.13965	55.33897	21.24313	11.21746	1.0086	0.29062	1.62124	0.34801	1.95588	0.08003	13.66549	0.92864	1.55822	18.29529	1.70638	4.48719	2.05934	0.84593	0.23167	3.69499	2.94825	6.8913	2.45039
k__Bacteria|p__Firmicutes|c__Negativicutes	1.23774	1.49992	9.55513	1.03778	15.94496	0.7018	0.02575	0.20363	0.00871	0.02929	0.045	0.06888	1.20008	3.88436	0	1.82756	0.53332	12.99057	14.4764	5.39019	7.89785	1.75648	1.73682	0.36156	4.95321	0.02819	1.40166	4.109	1.66844	6.56442	2.63195	17.59464	2.93195	0	3.77968	2.67119	2.03462	11.79005	3.37013	6.74286	10.28591	7.79202	0.13131	15.38685	0.63799	9.29972	0.1521	8.95675	10.55307	0.27583	1.17481	5.18231	5.59717	4.71247	0.16659	21.86134	2.83391	2.32249	1.35183	0.27919	7.02035	0.6404	7.83488	11.68558	9.51707	4.09757	23.76083	0.92202
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.91581	0	0.87621	0	2.00927	0	0.80016	0	0	0	0	0	7.56794	1.37355	0.76417	5.00608	1.35271	0.20463	4.822	0.09906	0	0	0	0	0	0	0	0	0	0.03224	0.06868	0.85624	0.18039	0	2.56697	0	0	0.17581	0.25476	0.14355	0.2887	0	0	2.98905	0	0	0	0	0.00283	0	1.27916	0.13725	0.17234	0	1.95533	0	0.09545	0.07203	0.12239	0	2.49292	0.18261	1.58183	9.62946	2.37304	5.2426	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0.09654	2.32041	2.89498	0.82086	0.0169	0.10524	0	0	1.31649	0.01229	0.07656	0.16055	0.03557	0.93983	0.11988	0.04179	0.08135	0.48605	0.0233	0.30644	0.15703	0.46691	0.46378	0.51298	0.02578	0.44899	0.59953	0.08976	1.11115	0.16317	1.5297	0.45654	0.25566	0.04819	0.06859	5.53247	0.03728	0.00233	0.06671	2.53243	5.31695	0.54015	0.05211	0.02927	0.13066	1.90105	0.45397	12.38671	2.91102	0.54948	0.11497	0.76082	0.26022	1.05646	0.02959	6.6552	1.0413	1.14306	1.69261	0.23997	0	0.44192	0.03735	0	0.00921	0.08919	0.86167	0.14572
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.06036	0	0	0	0	0	0	0	0	0.03916	0	0	3.33671	1.75557	0	0	0.01485	0	0	0.00255	0	0	0	0	0	0	6.51571	0.05326	0.02561	0	0.06563	0.00585	0	59.16115	0	0	0	0	0.01281	0	1.26384	0	0	0	0.06315	0.91901	0.78268	0	25.93463	0	0	0	0	0	0	0.01917	0	0.01441	0.00336	0.35757	0	0	0	0	0.00587	0.01223	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00978	0.03284	0.20113	0.17758	1.35347	0.10632	0	0.06425	0	0.23716	0.29379	0.02166	0.04001	0.3884	0	0.9294	0.55224	0.67258	1.58976	0.23288	0.49614	0.01317	0.13944	0.05702	0.0901	0.04919	0	0.02694	0.01675	0.13315	0.15744	0.0496	0.2389	0	0.27327	0.00449	0.48801	0.9132	0.51167	0.40269	0.19639	0.05732	0	0	0.85627	0.09748	0	0.65873	0.05265	0.06731	0.02477	0.00278	0.10238	0.64402	0.48989	0	0.05804	0.11496	0.22899	0.39445	0.02505	0.44064	0.09754	0.41303	0.47773	0.83411	0.7278	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00247	0.00741	0.03369	3.05167	1.25734	0.02293	0	0.0243	0.03045	0.05789	0.01396	1.28838	0.10024	0.94588	0.0264	0.64941	0.23049	0.07903	0.68777	0.06076	0.44835	0.74862	0.19362	0.63789	0.06151	0.07708	0.05331	0.27281	0.18685	0.03625	0.08072	0.32482	0.05113	0.0468	0.03538	1.32471	0.59061	0.44906	0.14511	0.05126	0.06397	0.23498	0.17527	0.25424	0.62817	2.90405	0.09972	0	0.17424	0.00957	0	0.00908	0.03217	0.05185	0.00761	0.00159	0.14699	0.04279	0.03354	1.70416	0.03977	0.03758	0.08504	0.04105	0.16616	0.03057	0.81082	0.09669
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	71.87916	50.27184	49.91052	26.09391	49.28071	31.68574	44.63899	14.86616	22.28945	20.2104	7.91957	41.87085	16.77844	34.16383	28.75243	36.66456	50.88493	28.99837	17.64759	28.59835	52.68183	30.70916	14.4272	39.54394	11.57422	19.61728	34.09436	44.51092	34.77756	56.27238	23.51393	65.17029	49.91891	0.00996	37.61198	8.06623	46.779	32.29341	17.63032	32.01769	29.51037	20.67665	16.80539	6.99591	54.47416	7.8475	5.13653	0.87138	10.15713	36.70033	47.6938	41.84096	22.49142	16.68993	35.55769	7.36338	56.21646	42.84559	24.66669	35.94295	39.768	23.94034	38.46146	34.22323	31.93141	50.78679	9.90778	36.06783
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11.69017	41.73136	18.0751	59.64456	6.19677	66.70631	50.72737	84.06328	75.42399	78.09683	78.34739	49.31399	55.81823	42.4447	68.63023	43.3417	39.74324	36.49453	51.88215	58.01484	36.43284	60.96615	77.86147	46.85123	72.18004	63.76171	53.08005	50.62038	57.22126	34.66826	58.65339	13.20017	43.64676	0.8168	54.10592	76.92141	46.58039	44.89533	48.40173	47.35788	46.81872	69.90751	78.00318	63.32711	35.37471	75.08532	0.27318	45.79708	38.85637	61.30728	44.81581	48.7697	57.9443	58.12805	30.88021	39.56774	36.79301	50.88012	52.70117	54.74583	43.25606	67.62905	13.6056	29.90854	38.34867	21.42926	38.82129	59.79153
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	8.58091	0	0.14894	0.62928	0.04636	0.136	0.00118	0	0.21314	0.0321	0.36355	2.96731	0	0.09375	0.24788	0	0	0	0	0	0	2.70569	0.60581	2.3258	7.39083	1.77153	2.81841	0.00529	0.54087	0.08638	1.95048	0.06306	0.03262	0.12149	0.48424	2.33868	0.03875	0	0	0	0.12602	0	1.85534	0	0.55811	0.56393	0	8.12158	0	0	1.0439	0	0	0	1.46716	4.63445	0.09946	0.38728	0	2.18928	0.07799	0	0.4647	0	0	0	13.08251	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	3.35996	0.61441	15.77752	1.87535	0.47054	0.01922	3.71405	0.18455	0.55669	1.045	0.58662	0.51818	5.06591	9.30806	0.60814	5.5839	0.5665	1.63715	3.05831	0	0.0612	0.56181	0	6.27993	0.16151	9.18763	0.69031	0.17641	1.18312	0.30793	4.34578	1.121	1.31876	39.78494	0.6606	2.44998	0.07347	2.19506	0.33938	0.55494	0.25462	0.29146	2.16209	6.6019	1.61978	0.32232	54.90438	21.24313	11.04949	0.7973	0.21395	0.06838	0.00355	1.44727	0.08003	12.39109	0.84804	0.33543	5.77142	1.70638	0.41022	1.31343	0.75872	0.22414	0.24451	0.13124	6.87893	0.03145
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.92412	0.74024	0.02344	5.2771	0	0.19074	0.00987	0.53204	0.10338	0.20602	0.88053	3.30751	0.25092	1.75793	0	0.26211	0.00227	15.02297	0.26114	0.45003	1.01684	1.16213	0.01447	2.40316	0	4.42644	0	0.10394	1.05676	1.11045	3.93588	0.36585	0.23815	0	0.10752	0.55168	0.01507	0.06273	0.06023	0.76746	0.47071	0.3203	0.21778	0	0.00049	0.81733	0.4171	0	0.16797	0.21131	0.07667	1.48382	0.3322	0.50861	0	0.19975	0.08059	0.8632	2.1115	0	0.0804	0.02046	0	0.00752	0.23209	0.16344	0	0.1205
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.23774	1.49992	9.55513	1.03778	15.94496	0.7018	0.02575	0.20363	0.00871	0.02929	0.045	0.06888	1.20008	3.88436	0	1.82756	0.53332	12.99057	14.4764	5.39019	7.89785	1.75648	1.73682	0.36156	4.95321	0.02819	1.40166	4.109	1.66844	6.56442	2.63195	17.59464	2.93195	0	3.77968	2.67119	2.03462	11.79005	3.37013	6.74286	10.28591	7.79202	0.13131	15.38685	0.63799	9.29972	0.1521	8.95675	10.55307	0.27583	1.17481	5.18231	5.59717	4.71247	0.16659	21.86134	2.83391	2.32249	1.35183	0.27919	7.02035	0.6404	7.83488	11.68558	9.51707	4.09757	23.76083	0.92202
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.91581	0	0.87621	0	2.00927	0	0.80016	0	0	0	0	0	7.56794	1.37355	0.76417	5.00608	1.35271	0.20463	4.822	0.09906	0	0	0	0	0	0	0	0	0	0.03224	0.06868	0.85624	0.18039	0	2.56697	0	0	0.17581	0.25476	0.14355	0.2887	0	0	2.98905	0	0	0	0	0.00283	0	1.27916	0.13725	0.17234	0	1.95533	0	0.09545	0.07203	0.12239	0	2.49292	0.18261	1.58183	9.62946	2.37304	5.2426	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.24127	0.0399	0.42066	0.17031	0.3555	0.08116	0	0	0	0.01166	0.00395	0.42324	0.20458	0.2426	0.11729	0.30933	0.15889	0.1213	0.2524	0.10528	0.07429	0.21364	0.06495	0.73769	0.79846	0.24842	0.72231	0.02322	2.13063	0.02224	0.30532	0.16887	0.01985	0	0.22952	0.10557	0.05835	0.79824	0.17558	0.09653	0.27574	0.05077	0.14007	2.84398	1.32989	0.11488	0	1.57082	0.01165	0.01379	0.76864	0.08173	0.06965	0.22618	1.77676	4.37829	0.28157	0.12431	0.09097	0.85911	0.18176	0.4598	0.53944	1.73226	0.33371	0.54946	4.91517	0.15075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09654	2.32041	2.89498	0.82086	0.0169	0.10524	0	0	1.31531	0.01229	0.07656	0.16055	0.03557	0.93983	0.11988	0.04179	0.08135	0.48605	0.0233	0.30644	0.14959	0.46691	0.46378	0.51298	0.02578	0.44899	0.59953	0.08976	1.11067	0.16317	1.5297	0.45654	0.25566	0.04819	0.06859	5.53247	0.03728	0.00233	0.06671	2.53243	5.31695	0.54015	0.05211	0.02927	0.13066	1.90105	0.44837	12.37028	2.91102	0.54948	0.11497	0.76082	0.26022	1.05646	0.02959	6.65046	1.0413	1.14306	1.69261	0.23997	0	0.44192	0.03735	0	0.00921	0.08919	0.86167	0.14572
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.06036	0	0	0	0	0	0	0	0	0.03916	0	0	3.33671	1.75557	0	0	0	0	0	0.00255	0	0	0	0	0	0	6.51571	0.05326	0	0	0	0	0	59.16115	0	0	0	0	0	0	0	0	0	0	0	0.91901	0.78268	0	25.93463	0	0	0	0	0	0	0.0186	0	0	0	0	0	0	0	0	0	0.01223	0	0
